geometry,seed,expected_hits_total,n_launches,low_hit,v_direct,v_denial,v_denial_raw,route_changed,hazard_at_tauT,lambda_tag
mid_low_hit,2,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,3,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,4,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,5,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,6,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,7,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,8,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,9,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,10,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,11,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,12,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,13,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,14,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,15,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,16,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,17,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,18,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,19,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,20,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,21,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,22,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,23,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,24,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,25,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,26,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,27,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,28,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,29,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
mid_low_hit,30,0.3333333333333333,4,1,3.6666666666666665,0.0,0.0,0,0.0,
long_low_hit,1,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,2,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,3,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,4,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,5,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,6,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,7,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,8,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
long_low_hit,9,0.16666666666666666,6,1,1.8333333333333333,4.000000000000001,4.000000000000001,1,0.15551243015966854,
