task,initial_seed,modality,severity_idx,window,agents,severity,return,failure,status
balance,60000,obs_noise,1,70,0,0.1,125.05721282958984,0,SUCCESS
balance,60000,obs_noise,1,70,0|1,0.1,125.40140533447266,0,SUCCESS
balance,60000,obs_noise,1,70,0|2,0.1,125.23434448242188,0,SUCCESS
balance,60000,obs_noise,1,70,1,0.1,125.14114379882812,0,SUCCESS
balance,60000,obs_noise,1,70,1|2,0.1,125.2694091796875,0,SUCCESS
balance,60000,obs_noise,1,70,2,0.1,125.12432098388672,0,SUCCESS
balance,60000,obs_noise,1,90,0,0.1,123.5324935913086,0,SUCCESS
balance,60000,obs_noise,1,90,0|1,0.1,123.45780944824219,0,SUCCESS
balance,60000,obs_noise,1,90,0|2,0.1,123.5731430053711,0,SUCCESS
balance,60000,obs_noise,1,90,1,0.1,123.97064208984375,0,SUCCESS
balance,60000,obs_noise,1,90,1|2,0.1,123.78508758544922,0,SUCCESS
balance,60000,obs_noise,1,90,2,0.1,124.24919128417969,0,SUCCESS
balance,60000,obs_noise,2,10,0,0.2,121.79360961914062,0,SUCCESS
balance,60000,obs_noise,2,10,0|1,0.2,121.10719299316406,0,SUCCESS
balance,60000,obs_noise,2,10,0|2,0.2,122.15595245361328,0,SUCCESS
balance,60000,obs_noise,2,10,1,0.2,121.7519302368164,0,SUCCESS
balance,60000,obs_noise,2,10,1|2,0.2,121.74263763427734,0,SUCCESS
balance,60000,obs_noise,2,10,2,0.2,120.85560607910156,0,SUCCESS
balance,60000,obs_noise,2,30,0,0.2,122.03441619873047,0,SUCCESS
balance,60000,obs_noise,2,30,0|1,0.2,120.81493377685547,0,SUCCESS
balance,60000,obs_noise,2,30,0|2,0.2,121.50979614257812,0,SUCCESS
balance,60000,obs_noise,2,30,1,0.2,122.28126525878906,0,SUCCESS
balance,60000,obs_noise,2,30,1|2,0.2,121.30176544189453,0,SUCCESS
balance,60000,obs_noise,2,30,2,0.2,122.52250671386719,0,SUCCESS
balance,60000,obs_noise,2,50,0,0.2,122.85779571533203,0,SUCCESS
balance,60000,obs_noise,2,50,0|1,0.2,122.25125885009766,0,SUCCESS
balance,60000,obs_noise,2,50,0|2,0.2,122.57915496826172,0,SUCCESS
balance,60000,obs_noise,2,50,1,0.2,122.994140625,0,SUCCESS
balance,60000,obs_noise,2,50,1|2,0.2,122.56395721435547,0,SUCCESS
balance,60000,obs_noise,2,50,2,0.2,123.21546936035156,0,SUCCESS
balance,60000,obs_noise,2,70,0,0.2,124.02049255371094,0,SUCCESS
balance,60000,obs_noise,2,70,0|1,0.2,124.05729675292969,0,SUCCESS
balance,60000,obs_noise,2,70,0|2,0.2,124.21671295166016,0,SUCCESS
balance,60000,obs_noise,2,70,1,0.2,124.28622436523438,0,SUCCESS
balance,60000,obs_noise,2,70,1|2,0.2,124.39585876464844,0,SUCCESS
balance,60000,obs_noise,2,70,2,0.2,124.35449981689453,0,SUCCESS
balance,60000,obs_noise,2,90,0,0.2,122.37162780761719,0,SUCCESS
balance,60000,obs_noise,2,90,0|1,0.2,121.56390380859375,0,SUCCESS
balance,60000,obs_noise,2,90,0|2,0.2,122.06023406982422,0,SUCCESS
balance,60000,obs_noise,2,90,1,0.2,123.17932891845703,0,SUCCESS
balance,60000,obs_noise,2,90,1|2,0.2,122.50410461425781,0,SUCCESS
balance,60000,obs_noise,2,90,2,0.2,123.72509765625,0,SUCCESS
balance,60000,obs_noise,3,10,0,0.4,120.28509521484375,0,SUCCESS
balance,60000,obs_noise,3,10,0|1,0.4,118.81395721435547,0,SUCCESS
balance,60000,obs_noise,3,10,0|2,0.4,118.63160705566406,0,SUCCESS
balance,60000,obs_noise,3,10,1,0.4,118.9152603149414,0,SUCCESS
balance,60000,obs_noise,3,10,1|2,0.4,118.27233123779297,0,SUCCESS
balance,60000,obs_noise,3,10,2,0.4,116.2646255493164,0,SUCCESS
balance,60000,obs_noise,3,30,0,0.4,119.4232177734375,0,SUCCESS
balance,60000,obs_noise,3,30,0|1,0.4,117.25895690917969,0,SUCCESS
balance,60000,obs_noise,3,30,0|2,0.4,117.80756378173828,0,SUCCESS
balance,60000,obs_noise,3,30,1,0.4,119.521728515625,0,SUCCESS
balance,60000,obs_noise,3,30,1|2,0.4,116.95161437988281,0,SUCCESS
balance,60000,obs_noise,3,30,2,0.4,119.04727935791016,0,SUCCESS
balance,60000,obs_noise,3,50,0,0.4,120.53810119628906,0,SUCCESS
balance,60000,obs_noise,3,50,0|1,0.4,118.89596557617188,0,SUCCESS
balance,60000,obs_noise,3,50,0|2,0.4,119.45924377441406,0,SUCCESS
balance,60000,obs_noise,3,50,1,0.4,119.9447250366211,0,SUCCESS
balance,60000,obs_noise,3,50,1|2,0.4,118.26539611816406,0,SUCCESS
balance,60000,obs_noise,3,50,2,0.4,120.02371215820312,0,SUCCESS
balance,60000,obs_noise,3,70,0,0.4,121.28304290771484,0,SUCCESS
balance,60000,obs_noise,3,70,0|1,0.4,120.5496597290039,0,SUCCESS
balance,60000,obs_noise,3,70,0|2,0.4,120.96782684326172,0,SUCCESS
balance,60000,obs_noise,3,70,1,0.4,120.89295959472656,0,SUCCESS
balance,60000,obs_noise,3,70,1|2,0.4,121.29412078857422,0,SUCCESS
balance,60000,obs_noise,3,70,2,0.4,121.30313873291016,0,SUCCESS
balance,60000,obs_noise,3,90,0,0.4,121.59315490722656,0,SUCCESS
balance,60000,obs_noise,3,90,0|1,0.4,119.57743835449219,0,SUCCESS
balance,60000,obs_noise,3,90,0|2,0.4,120.50374603271484,0,SUCCESS
balance,60000,obs_noise,3,90,1,0.4,122.61643981933594,0,SUCCESS
balance,60000,obs_noise,3,90,1|2,0.4,121.14816284179688,0,SUCCESS
balance,60000,obs_noise,3,90,2,0.4,123.10597229003906,0,SUCCESS
balance,60001,act_delay,0,10,0,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,10,1,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,10,2,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,30,0,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,30,1,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,30,2,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,50,0,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,50,1,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,50,2,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,70,0,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,70,1,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,70,2,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,90,0,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,90,1,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_delay,0,90,2,1.0,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,10,0,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,10,1,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,10,2,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,30,0,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,30,1,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,30,2,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,50,0,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,50,1,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,50,2,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,70,0,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,70,1,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,70,2,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,90,0,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,90,1,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,0,90,2,0.1,114.7097396850586,0,SUCCESS
balance,60001,act_drop,1,10,0,0.3,111.20496368408203,0,SUCCESS
balance,60001,act_drop,1,10,1,0.3,112.40856170654297,0,SUCCESS
balance,60001,act_drop,1,10,2,0.3,113.23617553710938,0,SUCCESS
balance,60001,act_drop,1,30,0,0.3,112.08457946777344,0,SUCCESS
balance,60001,act_drop,1,30,1,0.3,112.29121398925781,0,SUCCESS
balance,60001,act_drop,1,30,2,0.3,112.52410125732422,0,SUCCESS
balance,60001,act_drop,1,50,0,0.3,112.12914276123047,0,SUCCESS
balance,60001,act_drop,1,50,1,0.3,112.2484130859375,0,SUCCESS
balance,60001,act_drop,1,50,2,0.3,112.3993148803711,0,SUCCESS
balance,60001,act_drop,1,70,0,0.3,112.1436538696289,0,SUCCESS
balance,60001,act_drop,1,70,1,0.3,112.1971664428711,0,SUCCESS
balance,60001,act_drop,1,70,2,0.3,112.28924560546875,0,SUCCESS
balance,60001,act_drop,1,90,0,0.3,112.76854705810547,0,SUCCESS
balance,60001,act_drop,1,90,1,0.3,112.43643951416016,0,SUCCESS
balance,60001,act_drop,1,90,2,0.3,112.24443054199219,0,SUCCESS
balance,60001,act_noise,0,10,0,0.05,114.8961410522461,0,SUCCESS
balance,60001,act_noise,0,10,1,0.05,114.84203338623047,0,SUCCESS
balance,60001,act_noise,0,10,2,0.05,114.81793212890625,0,SUCCESS
balance,60001,act_noise,0,30,0,0.05,114.8375244140625,0,SUCCESS
balance,60001,act_noise,0,30,1,0.05,114.81916809082031,0,SUCCESS
balance,60001,act_noise,0,30,2,0.05,114.8023681640625,0,SUCCESS
balance,60001,act_noise,0,50,0,0.05,114.79856872558594,0,SUCCESS
balance,60001,act_noise,0,50,1,0.05,114.78506469726562,0,SUCCESS
balance,60001,act_noise,0,50,2,0.05,114.77433013916016,0,SUCCESS
balance,60001,act_noise,0,70,0,0.05,114.7573013305664,0,SUCCESS
balance,60001,act_noise,0,70,1,0.05,114.74864959716797,0,SUCCESS
balance,60001,act_noise,0,70,2,0.05,114.74146270751953,0,SUCCESS
balance,60001,act_noise,0,90,0,0.05,114.71614837646484,0,SUCCESS
balance,60001,act_noise,0,90,1,0.05,114.7141342163086,0,SUCCESS
balance,60001,act_noise,0,90,2,0.05,114.71150207519531,0,SUCCESS
balance,60001,act_noise,1,10,0,0.2,114.8880844116211,0,SUCCESS
balance,60001,act_noise,1,10,1,0.2,114.86734771728516,0,SUCCESS
balance,60001,act_noise,1,10,2,0.2,114.8836898803711,0,SUCCESS
balance,60001,act_noise,1,30,0,0.2,114.79442596435547,0,SUCCESS
balance,60001,act_noise,1,30,1,0.2,114.79096984863281,0,SUCCESS
balance,60001,act_noise,1,30,2,0.2,114.7865982055664,0,SUCCESS
balance,60001,act_noise,1,50,0,0.2,114.7056655883789,0,SUCCESS
balance,60001,act_noise,1,50,1,0.2,114.69680786132812,0,SUCCESS
balance,60001,act_noise,1,50,2,0.2,114.69110870361328,0,SUCCESS
balance,60001,act_noise,1,70,0,0.2,114.60051727294922,0,SUCCESS
balance,60001,act_noise,1,70,1,0.2,114.5892333984375,0,SUCCESS
balance,60001,act_noise,1,70,2,0.2,114.57799530029297,0,SUCCESS
balance,60001,act_noise,1,90,0,0.2,114.61511993408203,0,SUCCESS
balance,60001,act_noise,1,90,1,0.2,114.5954818725586,0,SUCCESS
balance,60001,act_noise,1,90,2,0.2,114.57215881347656,0,SUCCESS
balance,60001,dropout,0,10,0,1.0,106.92521667480469,0,SUCCESS
balance,60001,dropout,0,10,0|1,1.0,100.47322082519531,0,SUCCESS
balance,60001,dropout,0,10,0|2,1.0,101.56613159179688,0,SUCCESS
balance,60001,dropout,0,10,1,1.0,108.67680358886719,0,SUCCESS
balance,60001,dropout,0,10,1|2,1.0,103.77484130859375,0,SUCCESS
balance,60001,dropout,0,10,2,1.0,109.75277709960938,0,SUCCESS
balance,60001,dropout,0,30,0,1.0,107.79883575439453,0,SUCCESS
balance,60001,dropout,0,30,0|1,1.0,101.16751098632812,0,SUCCESS
balance,60001,dropout,0,30,0|2,1.0,101.6784896850586,0,SUCCESS
balance,60001,dropout,0,30,1,1.0,108.16271209716797,0,SUCCESS
balance,60001,dropout,0,30,1|2,1.0,101.99604034423828,0,SUCCESS
balance,60001,dropout,0,30,2,1.0,108.5442123413086,0,SUCCESS
balance,60001,dropout,0,50,0,1.0,107.85395050048828,0,SUCCESS
balance,60001,dropout,0,50,0|1,1.0,101.19719696044922,0,SUCCESS
balance,60001,dropout,0,50,0|2,1.0,101.42790985107422,0,SUCCESS
balance,60001,dropout,0,50,1,1.0,108.17845916748047,0,SUCCESS
balance,60001,dropout,0,50,1|2,1.0,101.62657928466797,0,SUCCESS
balance,60001,dropout,0,50,2,1.0,108.30109405517578,0,SUCCESS
balance,60001,dropout,0,70,0,1.0,107.8989028930664,0,SUCCESS
balance,60001,dropout,0,70,0|1,1.0,101.2280044555664,0,SUCCESS
balance,60001,dropout,0,70,0|2,1.0,101.1679916381836,0,SUCCESS
balance,60001,dropout,0,70,1,1.0,108.43901824951172,0,SUCCESS
balance,60001,dropout,0,70,1|2,1.0,101.30692291259766,0,SUCCESS
balance,60001,dropout,0,70,2,1.0,108.15021514892578,0,SUCCESS
balance,60001,dropout,0,90,0,1.0,112.15743255615234,0,SUCCESS
balance,60001,dropout,0,90,0|1,1.0,108.86963653564453,0,SUCCESS
balance,60001,dropout,0,90,0|2,1.0,108.38134002685547,0,SUCCESS
balance,60001,dropout,0,90,1,1.0,111.89742279052734,0,SUCCESS
balance,60001,dropout,0,90,1|2,1.0,107.96768188476562,0,SUCCESS
balance,60001,dropout,0,90,2,1.0,111.4588623046875,0,SUCCESS
balance,60001,obs_noise,0,10,0,0.05,114.08686065673828,0,SUCCESS
balance,60001,obs_noise,0,10,0|1,0.05,114.07090759277344,0,SUCCESS
balance,60001,obs_noise,0,10,0|2,0.05,113.86255645751953,0,SUCCESS
balance,60001,obs_noise,0,10,1,0.05,113.58267974853516,0,SUCCESS
balance,60001,obs_noise,0,10,1|2,0.05,113.26375579833984,0,SUCCESS
balance,60001,obs_noise,0,10,2,0.05,113.24805450439453,0,SUCCESS
balance,60001,obs_noise,0,30,0,0.05,114.12105560302734,0,SUCCESS
balance,60001,obs_noise,0,30,0|1,0.05,113.9154052734375,0,SUCCESS
balance,60001,obs_noise,0,30,0|2,0.05,113.84635162353516,0,SUCCESS
balance,60001,obs_noise,0,30,1,0.05,114.00128173828125,0,SUCCESS
balance,60001,obs_noise,0,30,1|2,0.05,113.71053314208984,0,SUCCESS
balance,60001,obs_noise,0,30,2,0.05,113.8970947265625,0,SUCCESS
balance,60001,obs_noise,0,50,0,0.05,114.5643310546875,0,SUCCESS
balance,60001,obs_noise,0,50,0|1,0.05,114.3790512084961,0,SUCCESS
balance,60001,obs_noise,0,50,0|2,0.05,114.36305236816406,0,SUCCESS
balance,60001,obs_noise,0,50,1,0.05,114.53526306152344,0,SUCCESS
balance,60001,obs_noise,0,50,1|2,0.05,114.33027648925781,0,SUCCESS
balance,60001,obs_noise,0,50,2,0.05,114.50486755371094,0,SUCCESS
balance,60001,obs_noise,0,70,0,0.05,115.11058044433594,0,SUCCESS
balance,60001,obs_noise,0,70,0|1,0.05,114.9177474975586,0,SUCCESS
balance,60001,obs_noise,0,70,0|2,0.05,114.97453308105469,0,SUCCESS
balance,60001,obs_noise,0,70,1,0.05,115.19107818603516,0,SUCCESS
balance,60001,obs_noise,0,70,1|2,0.05,115.07789611816406,0,SUCCESS
balance,60001,obs_noise,0,70,2,0.05,115.2488021850586,0,SUCCESS
balance,60001,obs_noise,0,90,0,0.05,114.88531494140625,0,SUCCESS
balance,60001,obs_noise,0,90,0|1,0.05,114.9393081665039,0,SUCCESS
balance,60001,obs_noise,0,90,0|2,0.05,115.0019302368164,0,SUCCESS
balance,60001,obs_noise,0,90,1,0.05,114.93287658691406,0,SUCCESS
