geometry,seed,k,e_total,v_direct,v_denial,v_denial_raw,route_changed
close_high_hit,9,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,9,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,10,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,10,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,10,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,10,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,11,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,11,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,11,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,11,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,12,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,12,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,12,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,12,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,13,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,13,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,13,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,13,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,14,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,14,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,14,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,14,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,15,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,15,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,15,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,15,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,16,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,16,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,16,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,16,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,17,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,17,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,17,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,17,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,18,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,18,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,18,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,18,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,19,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,19,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,19,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,19,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,20,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,20,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,20,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,20,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,21,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,21,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,21,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,21,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,22,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,22,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,22,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,22,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,23,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,23,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
close_high_hit,23,4,2.3333333333333335,25.666666666666668,6.000000000000002,6.000000000000002,1
close_high_hit,23,6,3.5,38.5,6.000000000000002,6.000000000000002,1
close_high_hit,24,1,0.5833333333333334,6.416666666666667,6.000000000000002,6.000000000000002,1
close_high_hit,24,2,1.1666666666666667,12.833333333333334,6.000000000000002,6.000000000000002,1
