unit_id,track,task,method,attempted,status,reason,exception_type,exception_message,trace_path,sim_queries,sim_steps,wall_seconds,payload
sampling_val_s1_e23,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 232.47285657740474, ""length"": 100}"
sampling_val_s1_e24,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 46.55437590090887, ""length"": 100}"
sampling_val_s1_e25,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 178.89845165584484, ""length"": 100}"
sampling_val_s1_e26,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 189.41304701058834, ""length"": 100}"
sampling_val_s1_e27,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 215.1584135029832, ""length"": 100}"
sampling_val_s1_e28,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 195.43535124091431, ""length"": 100}"
sampling_val_s1_e29,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 113.38954269966825, ""length"": 100}"
sampling_val_s1_e30,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 0.46020719199745885, ""length"": 100}"
sampling_val_s1_e31,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 252.49963651708094, ""length"": 100}"
sampling_val_s1_e32,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 136.61454409953103, ""length"": 100}"
sampling_val_s1_e33,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 293.76473338063806, ""length"": 100}"
sampling_val_s1_e34,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 236.31462696113158, ""length"": 100}"
sampling_val_s1_e35,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 204.5957003943622, ""length"": 100}"
sampling_val_s1_e36,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 232.19222428277135, ""length"": 100}"
sampling_val_s1_e37,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 165.27675849384104, ""length"": 100}"
sampling_val_s1_e38,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 235.40577542218193, ""length"": 100}"
sampling_val_s1_e39,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 195.6871598008729, ""length"": 100}"
sampling_val_s1_e40,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 235.84526388668746, ""length"": 100}"
sampling_val_s1_e41,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 176.79668889873835, ""length"": 100}"
sampling_val_s1_e42,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 134.13938238869645, ""length"": 100}"
sampling_val_s1_e43,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 138.9165196828896, ""length"": 100}"
sampling_val_s1_e44,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 152.08729900393803, ""length"": 100}"
sampling_val_s1_e45,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 223.9228504244238, ""length"": 100}"
sampling_val_s1_e46,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 168.65630283480277, ""length"": 100}"
sampling_val_s1_e47,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 171.81379302727146, ""length"": 100}"
sampling_val_s1_e48,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 200.93384605064057, ""length"": 100}"
sampling_val_s1_e49,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 283.1456006504595, ""length"": 100}"
sampling_val_s1_e50,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 263.04323389537393, ""length"": 100}"
sampling_val_s1_e51,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 264.2363529182039, ""length"": 100}"
sampling_val_s1_e52,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 221.39984976046253, ""length"": 100}"
sampling_val_s1_e53,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 253.10405253781937, ""length"": 100}"
sampling_val_s1_e54,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 261.9553502934341, ""length"": 100}"
sampling_val_s1_e55,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 250.85264211986214, ""length"": 100}"
sampling_val_s1_e56,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 173.0888544088957, ""length"": 100}"
sampling_val_s1_e57,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 214.7196432277367, ""length"": 100}"
sampling_val_s1_e58,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 255.50086132250726, ""length"": 100}"
sampling_val_s1_e59,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 130.63047294240815, ""length"": 100}"
sampling_val_s1_e60,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 181.54316998200028, ""length"": 100}"
sampling_val_s1_e61,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 273.5039556996428, ""length"": 100}"
sampling_val_s1_e62,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 234.49983037635684, ""length"": 100}"
sampling_val_s1_e63,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 106.69921566266567, ""length"": 100}"
sampling_val_s1_e64,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 179.00952017303206, ""length"": 100}"
sampling_val_s1_e65,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 39.95008920879445, ""length"": 100}"
sampling_val_s1_e66,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 256.6957901850651, ""length"": 100}"
sampling_val_s1_e67,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 126.04893320477368, ""length"": 100}"
sampling_val_s1_e68,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 156.0914938542992, ""length"": 100}"
sampling_val_s1_e69,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 284.2386387549341, ""length"": 100}"
sampling_val_s1_e70,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 224.5834820948802, ""length"": 100}"
sampling_val_s1_e71,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 184.69478707015514, ""length"": 100}"
sampling_val_s1_e72,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 262.34116248367354, ""length"": 100}"
sampling_val_s1_e73,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 195.7474826627056, ""length"": 100}"
sampling_val_s1_e74,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 20.622980540412236, ""length"": 100}"
sampling_val_s1_e75,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 221.69271747674793, ""length"": 100}"
sampling_val_s1_e76,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 80.70163559443465, ""length"": 100}"
sampling_val_s1_e77,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 166.58316497103078, ""length"": 100}"
sampling_val_s1_e78,A0,sampling,frozen_policy,1,SUCCESS,,,,,0,100,0.0,"{""return"": 119.95872484320716, ""length"": 100}"
