task,paired_clean_seed,config,return,failure_label,status,simulator_queries,cell
balance,20061,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",97.93400573730469,1,SUCCESS,1,"(1, 1, 0, 1)"
balance,20062,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",121.84263610839844,0,SUCCESS,1,"(1, 1, 0, 2)"
balance,20063,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",141.59113311767578,0,SUCCESS,1,"(1, 1, 1, 0)"
balance,20064,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",151.3798370361328,0,SUCCESS,1,"(1, 1, 1, 1)"
balance,20065,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",134.9234161376953,0,SUCCESS,1,"(1, 1, 1, 2)"
balance,20066,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",132.9865264892578,0,SUCCESS,1,"(1, 1, 2, 0)"
balance,20067,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",119.90251922607422,0,SUCCESS,1,"(1, 1, 2, 1)"
balance,20068,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",142.57848358154297,0,SUCCESS,1,"(1, 1, 2, 2)"
balance,20069,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",103.0411376953125,1,SUCCESS,1,"(1, 1, 3, 0)"
balance,20070,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",112.41899871826172,0,SUCCESS,1,"(1, 1, 3, 1)"
balance,20071,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",145.16279983520508,0,SUCCESS,1,"(1, 1, 3, 2)"
balance,20072,"{""modality"": ""act_noise"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.2}",131.1980438232422,0,SUCCESS,1,"(1, 1, 4, 0)"
balance,20073,"{""modality"": ""act_noise"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.2}",79.36438751220703,1,SUCCESS,1,"(1, 1, 4, 1)"
balance,20074,"{""modality"": ""act_noise"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.2}",121.12916564941406,0,SUCCESS,1,"(1, 1, 4, 2)"
balance,20075,"{""modality"": ""dropout"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",147.45426177978516,0,SUCCESS,1,"(4, 0, 0, 0)"
balance,20076,"{""modality"": ""dropout"", ""agents"": [0, 1], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",106.06226348876953,0,SUCCESS,1,"(4, 0, 0, 0)"
balance,20077,"{""modality"": ""dropout"", ""agents"": [0, 2], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",126.06559753417969,0,SUCCESS,1,"(4, 0, 0, 0)"
balance,20078,"{""modality"": ""dropout"", ""agents"": [1], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",119.25926971435547,0,SUCCESS,1,"(4, 0, 0, 1)"
balance,20079,"{""modality"": ""dropout"", ""agents"": [1, 2], ""t_start"": 10, ""t_end"": 20, ""severity"": 1.0}",110.8831787109375,0,SUCCESS,1,"(4, 0, 0, 1)"
