cell,geometry,speed,distance,T,grid,ablation,phases,opponent,scale,K,S,LB,UB,V,selected_UB,gap
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,4,"1,2,3,4",5.314020822974834,5.314021784157185,5.314021303566009,5.314021784157185,9.61182350600609e-07
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,5,"1,2,3,4,5",5.348411203805174,5.348412164987527,5.348411684396352,5.348412164987527,9.611823532651442e-07
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,0,,-3.9652160574192794,-3.965215036599758,-3.9652155470095187,-3.965215036599758,1.0208195213579074e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,1,1,-0.49324399321464135,-0.493242754476573,-0.49324342608511484,-0.49324285895558834,1.2387380683431815e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,2,1,-0.49324399321464135,-0.49324228260445396,-0.49324342608511484,-0.49324285895558834,1.710610187388717e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,3,1,-0.49324399321464135,-0.49324187783351137,-0.49324342608511484,-0.49324285895558834,2.1153811299856606e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,4,1,-0.49324399321464135,-0.4932416160316733,-0.49324342608511484,-0.49324285895558834,2.377182968027469e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,5,1,-0.49324399321464135,-0.4932415405112434,-0.49324342608511484,-0.49324285895558834,2.4527033979371282e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,0,,1.6250090028158817,1.6250100236354417,1.6250095132256526,1.6250100236354417,1.0208195599936687e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,1,1,5.056992366345162,5.056993387164679,5.0569928767549195,5.056993387164679,1.0208195169170153e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,2,"1,2",6.478555952353243,6.47855697317276,6.4785564627630015,6.47855697317276,1.0208195169170153e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,3,"1,2,4",6.795792573190709,6.795793594010229,6.7957930836004685,6.795793594010229,1.020819520469729e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,4,"1,2,4,5",7.015483181950469,7.015484202769991,7.015483692360229,7.015484202769991,1.0208195222460859e-06
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,5,"1,2,3,4,5",7.015483181950473,7.015484202769991,7.01548369236023,7.015484202769989,1.0208195178051938e-06
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,0,,-4.5785238326080675,-4.578523045136502,-4.578523438872285,-4.578523045136502,7.874715652889108e-07
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,1,3,-1.91127953180395,-1.9112782482308452,-1.9112788900173976,-1.9112782482308452,1.283573104693403e-06
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,2,"2,3",-0.7233246031104061,-0.7233230850016006,-0.7233238440560034,-0.7233230850016006,1.5181088055538083e-06
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,3,"2,3,4",-1.107730264655032e-06,1.107730264655032e-06,-0.0,1.107730264655032e-06,2.215460529310064e-06
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,4,"2,3,4",-1.107730264655032e-06,1.4913702393318145e-06,-0.0,1.107730264655032e-06,2.599100503986847e-06
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,5,"2,3,4",-1.107730264655032e-06,1.5099269388503025e-06,-0.0,1.107730264655032e-06,2.6176572035053346e-06
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,0,,-0.6742307321610291,-0.6742299446893874,-0.6742303384252264,-0.6742299446893874,7.874716417832772e-07
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,1,3,1.4664228179432284,1.466423605414788,1.4664232116790101,1.466423605414788,7.874715595157511e-07
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,2,"2,4",1.959292266156782,1.9592930536283453,1.9592926598925633,1.9592930536283453,7.874715632905094e-07
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,3,"2,4,5",2.1711381252259425,2.171138912697507,2.1711385189617247,2.171138912697507,7.874715644007324e-07
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,4,"1,3,4,5",2.200431822084195,2.200432609555758,2.2004322158199763,2.200432609555758,7.874715630684648e-07
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,5,"1,3,4,5",2.200431822084195,2.200432609555758,2.2004322158199763,2.200432609555758,7.874715630684648e-07
