cell,side,opponent,T,K,W_K,S_star,LB,UB,gap,status,seconds,policy_count,iterations,n_schedules,zero_reach
parallel_v0.85_d16_T6_G3_none,blue,C,6,2,1.9592926598925633,"[2, 4]",1.959292266156782,1.9592930536283453,7.874715632827178e-07,certified_numeric,3.2213061670045136,,,16,
parallel_v0.85_d16_T6_G3_none,blue,C,6,3,2.1711385189617247,"[2, 4, 5]",2.1711381252259425,2.171138912697507,7.874715648370301e-07,certified_numeric,20.938385208995896,,,26,
parallel_v0.85_d16_T6_G3_none,blue,C,6,4,2.2004322158199763,"[1, 3, 4, 5]",2.200431822084195,2.200432609555758,7.874715635047624e-07,certified_numeric,16.776817000005394,,,31,
parallel_v0.85_d16_T6_G3_none,blue,C,6,5,2.2004322158199763,"[1, 3, 4, 5]",2.200431822084195,2.200432609555758,7.874715635047624e-07,certified_numeric,16.776817000005394,,,32,
parallel_v0.85_d16_T6_G3_none,blue,F,6,0,-4.578523438872285,[],-4.5785238326080675,-4.578523045136502,7.874715652889108e-07,certified_numeric,23.91867508299765,,,1,
parallel_v0.85_d16_T6_G3_none,blue,F,6,1,-1.9112788900173976,[3],-1.91127953180395,-1.9112782482308452,1.283573104693403e-06,certified_numeric,4.500909916998353,,,6,
parallel_v0.85_d16_T6_G3_none,blue,F,6,2,-0.7233238440560034,"[2, 3]",-0.7233246031104061,-0.7233230850016006,1.5181088055406272e-06,certified_numeric,4.4074432920024265,,,16,
parallel_v0.85_d16_T6_G3_none,blue,F,6,3,-0.0,"[2, 3, 4]",-1.107730264655032e-06,1.107730264655032e-06,2.215460529310064e-06,certified_numeric,12.619583500010776,,,26,
parallel_v0.85_d16_T6_G3_none,blue,F,6,4,-0.0,"[2, 3, 4]",-1.107730264655032e-06,1.107730264655032e-06,2.215460529310064e-06,certified_numeric,12.619583500010776,,,31,
parallel_v0.85_d16_T6_G3_none,blue,F,6,5,-0.0,"[2, 3, 4]",-1.107730264655032e-06,1.107730264655032e-06,2.215460529310064e-06,certified_numeric,12.619583500010776,,,32,
parallel_v1.15_d16_T6_G3_none,blue,C,6,0,1.0651281938202224,[],1.0651278239458644,1.0651285636951713,7.39749306995669e-07,certified_numeric,0.6598075410001911,42,42,1,
parallel_v1.15_d16_T6_G3_none,blue,C,6,1,2.8440242998963985,[2],2.8440239300220576,2.844024669770739,7.397486810519277e-07,certified_numeric,1.865293415990891,,,3,
parallel_v1.15_d16_T6_G3_none,blue,C,6,2,2.8440242998963985,[2],2.8440239300220576,2.844024669770739,7.397486810519277e-07,certified_numeric,1.865293415990891,,,3,
parallel_v1.15_d16_T6_G3_none,blue,C,6,3,2.8440242998963985,[2],2.8440239300220576,2.844024669770739,7.397486810519277e-07,certified_numeric,1.865293415990891,,,3,
parallel_v1.15_d16_T6_G3_none,blue,C,6,4,2.8440242998963985,[2],2.8440239300220576,2.844024669770739,7.397486810519277e-07,certified_numeric,1.865293415990891,,,3,
parallel_v1.15_d16_T6_G3_none,blue,C,6,5,5.27577250361011,"[1, 2, 3, 4, 5]",5.275772133735772,5.27577287348445,7.397486788314817e-07,certified_numeric,25.852032416994916,,,4,
parallel_v1_d16_T6_G3_none,blue,C,6,0,1.0094014339743877e-15,[],-4.03427593718484e-07,4.034275911720374e-07,8.068551848905214e-07,certified_numeric,0.6964533340069465,40,40,1,
parallel_v1_d16_T6_G3_none,blue,C,6,1,2.350467501538832,[3],2.350467098111245,2.3504679049664188,8.068551739063799e-07,certified_numeric,2.5197271250071935,,,6,
parallel_v1_d16_T6_G3_none,blue,C,6,2,3.1642964269493716,"[2, 4]",3.1642960235217847,3.164296830376957,8.068551725741122e-07,certified_numeric,5.40635150000162,,,16,
parallel_v1_d16_T6_G3_none,blue,C,6,3,3.2942212980740946,"[2, 4, 5]",3.2942208946465072,3.294221701501681,8.068551739063799e-07,certified_numeric,27.043676000001142,,,26,
parallel_v1_d16_T6_G3_none,blue,C,6,4,3.4053806220988037,"[2, 3, 4, 5]",3.4053802186712123,3.4053810255263897,8.068551774590935e-07,certified_numeric,27.200546916996245,,,31,
parallel_v1_d16_T6_G3_none,blue,C,6,5,3.406573724064331,"[1, 2, 3, 4, 5]",3.406573320636747,3.4065741274919183,8.068551716859338e-07,certified_numeric,26.939968040998792,,,32,
parallel_v1_d16_T6_G3_none,blue,F,6,0,-3.406573724064325,[],-3.406574127491911,-3.406573320636739,8.068551720086248e-07,certified_numeric,32.94145508299698,,,1,
parallel_v1_d16_T6_G3_none,blue,F,6,1,-0.8340431332084075,[3],-0.8340437573788669,-0.8340425090379481,1.2483409188579486e-06,certified_numeric,3.819554917005007,,,6,
parallel_v1_d16_T6_G3_none,blue,F,6,2,-0.04261871184579978,"[2, 3]",-0.042619406323952315,-0.04261801736764725,1.3889563050661877e-06,certified_numeric,3.8489772499888204,,,16,
parallel_v1_d16_T6_G3_none,blue,F,6,3,-0.0,"[2, 3, 4]",-9.93016004814648e-07,9.93016004814648e-07,1.986032009629296e-06,certified_numeric,12.96949799999129,,,26,
parallel_v1_d16_T6_G3_none,blue,F,6,4,-0.0,"[2, 3, 4]",-9.93016004814648e-07,9.93016004814648e-07,1.986032009629296e-06,certified_numeric,12.96949799999129,,,31,
parallel_v1_d16_T6_G3_none,blue,F,6,5,-0.0,"[2, 3, 4]",-9.93016004814648e-07,9.93016004814648e-07,1.986032009629296e-06,certified_numeric,12.96949799999129,,,32,
parallel_v1_d16_T6_G3_none,red,C,6,0,-1.060878341491142e-15,[],-4.0342760022192754e-07,4.034275982774648e-07,8.068551984993923e-07,certified_numeric,0.6445171249943087,40,40,1,
parallel_v1_d16_T6_G3_none,red,C,6,1,2.350467501538827,[3],2.3504670981112477,2.35046790496642,8.068551725741122e-07,certified_numeric,2.057175209003617,,,6,
parallel_v1_d16_T6_G3_none,red,C,6,2,3.1642964269493676,"[2, 4]",3.1642960235217794,3.164296830376955,8.068551756827367e-07,certified_numeric,4.494721125010983,,,16,
