cell,geometry,speed,distance,T,grid,ablation,phases,opponent,scale,K,optimized_S,uniform_S,gain_LB,gain_UB,gain,strict_numeric_improvement
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,2,"1,3","2,4",2.1690222556266834,2.1690260691067236,2.1690241623667035,True
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,3,"1,3","1,3,4",-2.1186219875208903e-06,2.5599879184362944e-06,-1.9085385371710135e-17,False
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,4,"1,3","1,2,3,4",-2.28234775949157e-06,3.0842026452990444e-06,-6.470255770202573e-17,False
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,F,48.059117569743584,5,"1,3","1,2,3,4,5",-2.7260651373306606e-06,3.6907441103686184e-06,-6.470255770202573e-17,False
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,0,,,-9.611869424573712e-07,9.611869424573712e-07,0.0,False
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,1,3,3,-9.611823519328766e-07,9.611823519328766e-07,0.0,False
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,2,"1,2","2,4",1.3121145102279637,1.3121164325926666,1.3121154714103174,True
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,3,"1,2,4","1,3,4",1.9520817818240523,1.9520837041887589,1.9520827430064056,True
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,4,"1,2,3,4","1,2,3,4",-9.61182350600609e-07,9.61182350600609e-07,0.0,False
head_on_v1_d16_T6_G3_none,head_on,1.0,16.0,6,3,none,development;robustness,C,48.059117569743584,5,"1,2,3,4,5","1,2,3,4,5",-9.611823532651442e-07,9.611823532651442e-07,0.0,False
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,0,,,-1.0208195213579074e-06,1.0208195213579074e-06,0.0,False
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,1,1,3,1.3034830355926679,1.3034858096691313,1.3034843703913919,True
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,2,1,"2,4",-1.6432500242191672e-06,2.219601165698304e-06,3.552713678800501e-15,False
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,3,1,"1,3,4",-1.8091701393108117e-06,2.7902922136169295e-06,-1.3322676295501878e-15,False
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,4,1,"1,2,3,4",-1.9808057195036533e-06,3.2237296318515796e-06,-1.3322676295501878e-15,False
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,F,51.04097597465433,5,1,"1,2,3,4,5",-2.4527033979371282e-06,3.7711477401947135e-06,-1.3322676295501878e-15,False
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,0,,,-1.0208195599936687e-06,1.0208195599936687e-06,0.0,False
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,1,1,3,1.0126016528938617,1.0126036945328982,1.0126026737133795,True
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,2,"1,2","2,4",2.2553103221933144,2.255312363832342,2.2553113430128233,True
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,3,"1,2,4","1,3,4",0.2852019530652745,0.2852039947043119,0.28520297388479143,True
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,4,"1,2,4,5","1,2,3,4",0.2196895879402403,0.21969162957928123,0.21969060875976076,True
head_on_v1.15_d16_T6_G3_none,head_on,1.15,16.0,6,3,none,development,C,51.04097597465433,5,"1,2,3,4,5","1,2,3,4,5",-1.020819516028837e-06,1.0208195178051938e-06,0.0,False
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,0,,,-7.874715652889108e-07,7.874715652889108e-07,0.0,False
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,1,3,3,-1.283573104693403e-06,1.283573104693403e-06,0.0,False
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,2,"2,3","2,4",0.22741138052596888,0.2274146154422375,0.2274129979841032,True
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,3,"2,3,4","1,3,4",0.21335039475918155,0.2133546463560304,0.21335252055760598,True
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,4,"2,3,4","1,2,3,4",-2.234017228828552e-06,2.6176572035053346e-06,0.0,False
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,F,39.37357819744258,5,"2,3,4","1,2,3,4,5",-2.6176572035053346e-06,3.019853877700605e-06,-0.0,False
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,0,,,-7.874716417832772e-07,7.874716417832772e-07,0.0,False
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,1,3,3,-7.874715595157511e-07,7.874715595157511e-07,0.0,False
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,2,"2,4","2,4",-7.874715632905094e-07,7.874715632905094e-07,0.0,False
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,3,"2,4,5","1,3,4",0.18989717423291852,0.189898749176046,0.18989796170448336,True
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,4,"1,3,4,5","1,2,3,4",0.2191908710911712,0.21919244603429933,0.21919165856273448,True
parallel_v0.85_d16_T6_G3_none,parallel,0.85,16.0,6,3,none,development,C,39.37357819744258,5,"1,3,4,5","1,2,3,4,5",-7.874715630684648e-07,7.87471563512554e-07,0.0,False
