policy,geometry,seed,damage_axis,damage_allies,diff,axis_win,allies_win
line,parallel,43,5,1,-4,0,1
line,parallel,44,0,11,11,1,0
line,parallel,45,0,9,9,1,0
line,parallel,46,5,2,-3,0,1
line,parallel,47,7,3,-4,0,1
line,parallel,48,0,1,1,1,0
line,parallel,49,1,4,3,1,0
line,parallel,50,0,4,4,1,0
line,parallel,51,5,4,-1,0,1
line,parallel,52,3,10,7,1,0
line,parallel,53,0,8,8,1,0
line,parallel,54,3,3,0,0,0
line,parallel,55,5,7,2,1,0
line,parallel,56,6,10,4,1,0
line,parallel,57,0,12,12,1,0
line,parallel,58,0,5,5,1,0
line,parallel,59,3,8,5,1,0
line,parallel,60,3,11,8,1,0
line,head_on,1,0,5,5,1,0
line,head_on,2,3,11,8,1,0
line,head_on,3,2,4,2,1,0
line,head_on,4,2,3,1,1,0
line,head_on,5,0,2,2,1,0
line,head_on,6,5,2,-3,0,1
line,head_on,7,8,8,0,0,0
line,head_on,8,5,0,-5,0,1
line,head_on,9,0,0,0,0,0
line,head_on,10,7,9,2,1,0
line,head_on,11,1,3,2,1,0
line,head_on,12,12,0,-12,0,1
line,head_on,13,2,0,-2,0,1
line,head_on,14,8,12,4,1,0
line,head_on,15,4,3,-1,0,1
line,head_on,16,10,3,-7,0,1
line,head_on,17,1,7,6,1,0
line,head_on,18,0,2,2,1,0
line,head_on,19,0,0,0,0,0
line,head_on,20,1,7,6,1,0
line,head_on,21,0,4,4,1,0
line,head_on,22,2,1,-1,0,1
line,head_on,23,0,6,6,1,0
line,head_on,24,0,0,0,0,0
line,head_on,25,4,3,-1,0,1
line,head_on,26,1,4,3,1,0
line,head_on,27,0,12,12,1,0
line,head_on,28,5,12,7,1,0
line,head_on,29,4,1,-3,0,1
line,head_on,30,3,3,0,0,0
line,head_on,31,8,0,-8,0,1
line,head_on,32,0,7,7,1,0
line,head_on,33,3,3,0,0,0
line,head_on,34,0,1,1,1,0
line,head_on,35,4,0,-4,0,1
line,head_on,36,1,7,6,1,0
line,head_on,37,0,12,12,1,0
line,head_on,38,1,9,8,1,0
line,head_on,39,7,4,-3,0,1
line,head_on,40,0,8,8,1,0
line,head_on,41,9,4,-5,0,1
line,head_on,42,3,2,-1,0,1
line,head_on,43,2,4,2,1,0
line,head_on,44,6,2,-4,0,1
line,head_on,45,2,2,0,0,0
line,head_on,46,3,2,-1,0,1
line,head_on,47,2,4,2,1,0
line,head_on,48,0,0,0,0,0
line,head_on,49,4,6,2,1,0
line,head_on,50,0,6,6,1,0
line,head_on,51,4,12,8,1,0
line,head_on,52,3,5,2,1,0
line,head_on,53,2,2,0,0,0
line,head_on,54,9,8,-1,0,1
line,head_on,55,0,4,4,1,0
line,head_on,56,6,10,4,1,0
line,head_on,57,0,8,8,1,0
line,head_on,58,0,3,3,1,0
line,head_on,59,0,10,10,1,0
line,head_on,60,1,8,7,1,0
line,crossing,1,2,2,0,0,0
line,crossing,2,8,5,-3,0,1
line,crossing,3,1,9,8,1,0
line,crossing,4,1,9,8,1,0
line,crossing,5,0,6,6,1,0
line,crossing,6,2,0,-2,0,1
line,crossing,7,0,5,5,1,0
line,crossing,8,3,3,0,0,0
line,crossing,9,1,2,1,1,0
line,crossing,10,9,12,3,1,0
line,crossing,11,6,3,-3,0,1
line,crossing,12,12,0,-12,0,1
line,crossing,13,0,8,8,1,0
line,crossing,14,3,12,9,1,0
line,crossing,15,10,0,-10,0,1
line,crossing,16,3,7,4,1,0
line,crossing,17,0,7,7,1,0
line,crossing,18,1,3,2,1,0
line,crossing,19,2,6,4,1,0
line,crossing,20,2,2,0,0,0
line,crossing,21,2,1,-1,0,1
line,crossing,22,3,12,9,1,0
line,crossing,23,0,7,7,1,0
line,crossing,24,0,6,6,1,0
line,crossing,25,2,3,1,1,0
line,crossing,26,3,3,0,0,0
line,crossing,27,3,12,9,1,0
line,crossing,28,3,7,4,1,0
line,crossing,29,3,2,-1,0,1
line,crossing,30,2,5,3,1,0
line,crossing,31,1,1,0,0,0
line,crossing,32,1,11,10,1,0
line,crossing,33,2,2,0,0,0
line,crossing,34,0,1,1,1,0
line,crossing,35,6,2,-4,0,1
line,crossing,36,1,5,4,1,0
line,crossing,37,5,2,-3,0,1
line,crossing,38,0,1,1,1,0
line,crossing,39,1,7,6,1,0
line,crossing,40,2,8,6,1,0
line,crossing,41,2,8,6,1,0
line,crossing,42,0,2,2,1,0
line,crossing,43,4,6,2,1,0
line,crossing,44,6,11,5,1,0
line,crossing,45,5,0,-5,0,1
line,crossing,46,12,4,-8,0,1
line,crossing,47,6,10,4,1,0
line,crossing,48,0,0,0,0,0
line,crossing,49,0,3,3,1,0
line,crossing,50,4,0,-4,0,1
line,crossing,51,3,12,9,1,0
line,crossing,52,0,9,9,1,0
line,crossing,53,0,2,2,1,0
line,crossing,54,1,7,6,1,0
line,crossing,55,1,7,6,1,0
line,crossing,56,3,12,9,1,0
line,crossing,57,1,12,11,1,0
line,crossing,58,8,5,-3,0,1
line,crossing,59,8,12,4,1,0
line,crossing,60,0,0,0,0,0
balanced,parallel,1,0,9,9,1,0
balanced,parallel,2,5,10,5,1,0
balanced,parallel,3,3,0,-3,0,1
balanced,parallel,4,0,7,7,1,0
balanced,parallel,5,4,0,-4,0,1
balanced,parallel,6,0,2,2,1,0
balanced,parallel,7,4,4,0,0,0
balanced,parallel,8,1,0,-1,0,1
balanced,parallel,9,2,0,-2,0,1
balanced,parallel,10,4,3,-1,0,1
balanced,parallel,11,0,9,9,1,0
balanced,parallel,12,12,0,-12,0,1
balanced,parallel,13,0,0,0,0,0
balanced,parallel,14,0,9,9,1,0
balanced,parallel,15,8,0,-8,0,1
balanced,parallel,16,3,3,0,0,0
balanced,parallel,17,0,2,2,1,0
balanced,parallel,18,0,0,0,0,0
balanced,parallel,19,0,7,7,1,0
balanced,parallel,20,0,9,9,1,0
balanced,parallel,21,1,7,6,1,0
balanced,parallel,22,3,0,-3,0,1
balanced,parallel,23,1,11,10,1,0
balanced,parallel,24,0,0,0,0,0
balanced,parallel,25,2,1,-1,0,1
balanced,parallel,26,0,4,4,1,0
balanced,parallel,27,1,0,-1,0,1
balanced,parallel,28,0,4,4,1,0
balanced,parallel,29,2,0,-2,0,1
balanced,parallel,30,2,3,1,1,0
balanced,parallel,31,2,12,10,1,0
balanced,parallel,32,1,7,6,1,0
balanced,parallel,33,2,1,-1,0,1
balanced,parallel,34,1,1,0,0,0
balanced,parallel,35,6,2,-4,0,1
balanced,parallel,36,0,4,4,1,0
balanced,parallel,37,3,4,1,1,0
balanced,parallel,38,0,1,1,1,0
balanced,parallel,39,1,6,5,1,0
balanced,parallel,40,0,0,0,0,0
balanced,parallel,41,3,2,-1,0,1
balanced,parallel,42,1,0,-1,0,1
balanced,parallel,43,0,4,4,1,0
balanced,parallel,44,0,7,7,1,0
balanced,parallel,45,2,12,10,1,0
balanced,parallel,46,0,12,12,1,0
balanced,parallel,47,0,3,3,1,0
balanced,parallel,48,0,0,0,0,0
balanced,parallel,49,1,1,0,0,0
balanced,parallel,50,0,0,0,0,0
balanced,parallel,51,1,3,2,1,0
balanced,parallel,52,3,1,-2,0,1
balanced,parallel,53,0,6,6,1,0
balanced,parallel,54,2,0,-2,0,1
balanced,parallel,55,0,5,5,1,0
balanced,parallel,56,7,3,-4,0,1
balanced,parallel,57,3,5,2,1,0
balanced,parallel,58,0,5,5,1,0
balanced,parallel,59,0,3,3,1,0
balanced,parallel,60,1,2,1,1,0
balanced,head_on,1,0,0,0,0,0
balanced,head_on,2,5,1,-4,0,1
balanced,head_on,3,1,1,0,0,0
balanced,head_on,4,0,0,0,0,0
balanced,head_on,5,1,0,-1,0,1
balanced,head_on,6,0,0,0,0,0
balanced,head_on,7,5,9,4,1,0
balanced,head_on,8,3,0,-3,0,1
balanced,head_on,9,0,3,3,1,0
balanced,head_on,10,3,7,4,1,0
balanced,head_on,11,1,2,1,1,0
balanced,head_on,12,1,1,0,0,0
balanced,head_on,13,0,4,4,1,0
balanced,head_on,14,0,1,1,1,0
balanced,head_on,15,7,1,-6,0,1
balanced,head_on,16,0,0,0,0,0
balanced,head_on,17,0,4,4,1,0
