policy,geometry,seed,damage_axis,damage_allies,diff,axis_win,allies_win
straight,crossing,43,8,0,-8,0,1
straight,crossing,44,12,0,-12,0,1
straight,crossing,45,5,0,-5,0,1
straight,crossing,46,12,0,-12,0,1
straight,crossing,47,12,0,-12,0,1
straight,crossing,48,1,0,-1,0,1
straight,crossing,49,12,0,-12,0,1
straight,crossing,50,10,0,-10,0,1
straight,crossing,51,12,0,-12,0,1
straight,crossing,52,12,0,-12,0,1
straight,crossing,53,7,0,-7,0,1
straight,crossing,54,4,0,-4,0,1
straight,crossing,55,7,0,-7,0,1
straight,crossing,56,12,0,-12,0,1
straight,crossing,57,12,0,-12,0,1
straight,crossing,58,3,0,-3,0,1
straight,crossing,59,6,0,-6,0,1
straight,crossing,60,9,3,-6,0,1
