pair_id,scenario,turn,n_candidates,rho_abs_outcome,rho_norm_outcome,stake_outcome,rho_abs_damage,rho_norm_damage,stake_damage,value_divergence_outcome,value_divergence_damage,action_disagreement,confident_outcome,confident_damage
IBS-S-03_s10_t4_IBS-U-KM-KARL-GALSTER_1SS2-0,IBS-S-03,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023809523809523807,False,False,False
IBS-S-03_s11_t3_IBS-U-KM-KARL-GALSTER_1SS2P-0,IBS-S-03,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016260162601626016,False,False,False
IBS-S-03_s11_t3_IBS-U-KM-HANS-LODY_1P5-0,IBS-S-03,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
IBS-S-03_s11_t3_IBS-U-KM-RICHARD-BEITZEN_3P3-1S1S4P,IBS-S-03,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
IBS-S-03_s12_t3_IBS-U-KM-HANS-LODY_1PP3P-0,IBS-S-03,3,6,0.0,0.0,0.0,0.0,0.0,0.008333333333333331,0.13333333333333336,0.03541666666666666,False,False,False
IBS-S-03_s12_t3_IBS-U-KM-RICHARD-BEITZEN_1S1S1S1S-0,IBS-S-03,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.018749999999999996,False,False,False
IBS-S-03_s12_t3_IBS-U-KM-KARL-GALSTER_2S4-1SS1S3P,IBS-S-03,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.010416666666666664,False,False,False
IBS-S-01_s1_t4_IBS-U-IJN-AOBA_1P2S-0,IBS-S-01,4,6,0.0,0.0,0.2,0.0,0.0,0.032380952380952385,0.26666666666666666,0.023333333333333334,False,False,False
IBS-S-01_s1_t4_IBS-U-IJN-KINUGASA_1P2S-0,IBS-S-01,4,6,0.06666666666666665,0.33333333333333326,0.2,0.010952380952380951,0.5609756097560975,0.019523809523809523,0.26666666666666666,0.016666666666666666,True,False,False
IBS-S-01_s1_t4_IBS-U-IJN-FURUTAKA_1SS4-0,IBS-S-01,4,6,0.06666666666666665,0.33333333333333326,0.2,0.0023809523809523794,0.12195121951219505,0.019523809523809523,0.2,0.007142857142857142,True,False,False
IBS-S-01_s2_t2_IBS-U-IJN-AOBA_1S1S2P-0,IBS-S-01,2,4,0.06666666666666665,0.19999999999999993,0.33333333333333337,0.0053830227743271244,0.1192660550458716,0.04513457556935818,0.20000000000000007,0.03643892339544514,True,False,False
IBS-S-01_s2_t2_IBS-U-IJN-FUBUKI_3P-0,IBS-S-01,2,4,0.0,0.0,0.19999999999999996,0.0020703933747412,0.06666666666666665,0.03105590062111801,0.19999999999999996,0.02898550724637681,False,False,False
IBS-S-01_s2_t2_IBS-U-IJN-HATSUYUKI_1P2P1S-0,IBS-S-01,2,4,0.0,0.0,0.2666666666666667,0.0,0.0,0.009937888198757766,0.13333333333333341,0.005797101449275366,True,False,False
IBS-S-01_s2_t3_IBS-U-IJN-FURUTAKA_2S1P-0,IBS-S-01,3,3,0.0,0.0,0.6000000000000001,0.0,0.0,0.08104575163398692,0.2666666666666667,0.0392156862745098,False,False,False
IBS-S-01_s2_t3_IBS-U-IJN-FUBUKI_1SS3-0,IBS-S-01,3,3,0.0,0.0,0.6000000000000001,0.0,0.0,0.08104575163398692,0.2,0.016122004357298478,False,True,True
IBS-S-01_s2_t3_IBS-U-IJN-HATSUYUKI_5-0,IBS-S-01,3,3,0.0,0.0,0.6000000000000001,0.0,0.0,0.08104575163398692,0.13333333333333336,0.017864923747276683,False,True,True
IBS-S-01_s2_t4_IBS-U-IJN-FURUTAKA_2P-0,IBS-S-01,4,3,0.0,0.0,0.13333333333333341,0.0,0.0,0.018045112781954885,0.2666666666666667,0.04411027568922305,True,False,False
IBS-S-01_s2_t4_IBS-U-IJN-HATSUYUKI_3S1P1P-0,IBS-S-01,4,3,0.0,0.0,0.13333333333333341,0.0,0.0,0.02355889724310777,0.06666666666666676,0.03007518796992481,False,False,False
IBS-S-01_s2_t4_IBS-U-IJN-KINUGASA_1P1P4-0,IBS-S-01,4,3,0.06666666666666665,0.4999999999999996,0.13333333333333341,0.0,0.0,0.018045112781954885,0.2666666666666667,0.02456140350877193,True,False,False
IBS-S-01_s3_t2_IBS-U-IJN-AOBA_4S1-0,IBS-S-01,2,4,0.0,0.0,0.2666666666666667,0.0111111111111111,0.2799999999999997,0.03968253968253968,0.6,0.07936507936507936,False,False,False
IBS-S-01_s3_t2_IBS-U-IJN-FUBUKI_2P-0,IBS-S-01,2,4,0.13333333333333336,0.5,0.2666666666666667,0.007539682539682541,0.19000000000000003,0.03968253968253968,0.33333333333333337,0.03412698412698413,True,False,False
IBS-S-01_s3_t2_IBS-U-IJN-HATSUYUKI_1P1P4-0,IBS-S-01,2,4,0.13333333333333336,0.4000000000000001,0.3333333333333333,0.009126984126984122,0.2299999999999999,0.03968253968253968,0.33333333333333337,0.03412698412698413,True,True,False
IBS-S-01_s3_t4_IBS-U-IJN-KINUGASA_3S2P-0,IBS-S-01,4,5,0.0,0.0,0.0,0.0,0.0,0.0008948545861297529,0.20000000000000007,0.01923937360178971,False,False,False
IBS-S-01_s3_t4_IBS-U-IJN-HATSUYUKI_1S3P-0,IBS-S-01,4,5,0.0,0.0,0.0,0.0008948545861297529,0.3999999999999995,0.0022371364653243847,0.1333333333333333,0.005369127516778522,False,False,False
IBS-S-01_s3_t4_IBS-U-IJN-FURUTAKA_4S1-0,IBS-S-01,4,5,0.0,0.0,0.20000000000000007,0.0004474272930648768,0.025641025641025633,0.0174496644295302,0.20000000000000007,0.017449664429530203,False,False,False
IBS-S-01_s4_t3_IBS-U-IJN-FUBUKI_1P3-0,IBS-S-01,3,6,0.06666666666666665,0.25,0.2666666666666666,0.011688311688311685,0.6136363636363634,0.01904761904761905,0.2666666666666666,0.026406926406926406,True,False,False
IBS-S-01_s4_t3_IBS-U-IJN-AOBA_1SS1S-0,IBS-S-01,3,6,0.1333333333333333,0.39999999999999986,0.33333333333333337,0.0051948051948051965,0.22641509433962267,0.022943722943722947,0.2666666666666667,0.01774891774891775,True,True,False
IBS-S-01_s4_t3_IBS-U-IJN-FURUTAKA_1P-0,IBS-S-01,3,6,0.0,0.0,0.2666666666666666,0.006926406926406926,0.32,0.021645021645021644,0.2666666666666666,0.028138528138528136,False,False,False
IBS-S-01_s4_t4_IBS-U-IJN-KINUGASA_3S3P-0,IBS-S-01,4,3,0.0,0.0,0.1333333333333333,0.0,0.0,0.03148148148148148,0.1333333333333333,0.04074074074074074,False,False,False
IBS-S-01_s4_t4_IBS-U-IJN-FURUTAKA_1S1P1P-0,IBS-S-01,4,3,0.0,0.0,0.1333333333333333,0.0,0.0,0.03148148148148148,0.1333333333333333,0.01064814814814815,False,False,False
IBS-S-01_s4_t4_IBS-U-IJN-HATSUYUKI_4S2P-0,IBS-S-01,4,3,0.1333333333333333,0.6666666666666666,0.19999999999999996,0.0,0.0,0.05277777777777778,0.19999999999999996,0.037037037037037035,True,False,True
IBS-S-01_s5_t2_IBS-U-IJN-AOBA_1P1P1P1P-0,IBS-S-01,2,4,0.0,0.0,0.13333333333333336,0.00555555555555555,0.1999999999999998,0.02777777777777778,0.13333333333333336,0.024603174603174603,True,False,False
IBS-S-01_s5_t2_IBS-U-IJN-FUBUKI_2P4S-0,IBS-S-01,2,4,0.0,0.0,0.2666666666666667,0.010317460317460315,0.37142857142857133,0.02777777777777778,0.2666666666666667,0.028174603174603175,True,False,False
IBS-S-01_s5_t2_IBS-U-IJN-HATSUYUKI_1-0,IBS-S-01,2,4,0.06666666666666671,0.1666666666666668,0.39999999999999997,0.014682539682539686,0.26428571428571435,0.05555555555555555,0.26666666666666666,0.0376984126984127,True,False,False
IBS-S-01_s5_t3_IBS-U-IJN-AOBA_3P2P-0,IBS-S-01,3,3,0.06666666666666665,0.2499999999999999,0.2666666666666667,0.01038961038961038,0.4067796610169488,0.025541125541125538,0.33333333333333337,0.03116883116883116,True,False,False
IBS-S-01_s5_t3_IBS-U-IJN-FURUTAKA_1S2S2-0,IBS-S-01,3,3,0.06666666666666676,0.25000000000000033,0.2666666666666667,0.0,0.0,0.01038961038961038,0.20000000000000007,0.01861471861471861,True,False,False
IBS-S-01_s5_t3_IBS-U-IJN-KINUGASA_2P3-0,IBS-S-01,3,3,0.1333333333333333,0.4999999999999998,0.2666666666666667,0.0,0.0,0.02943722943722943,0.2666666666666667,0.033766233766233764,True,False,False
IBS-S-01_s6_t3_IBS-U-IJN-FUBUKI_1PP3S-0,IBS-S-01,3,4,0.0,0.0,0.0,0.0013157894736842146,0.27272727272727393,0.004824561403508766,0.0,0.009210526315789475,False,False,False
IBS-S-01_s6_t3_IBS-U-IJN-HATSUYUKI_1P1P2S-0,IBS-S-01,3,4,0.0,0.0,0.0,0.0,0.0,0.007456140350877202,0.06666666666666665,0.004385964912280695,False,False,False
IBS-S-01_s6_t3_IBS-U-IJN-FURUTAKA_1SS1S2P-0,IBS-S-01,3,4,0.0,0.0,0.0,0.0,0.0,0.004824561403508766,0.0,0.04429824561403508,False,False,False
IBS-S-01_s6_t4_IBS-U-IJN-KINUGASA_1P-0,IBS-S-01,4,3,0.0,0.0,0.1333333333333333,0.02022988505747126,0.4583333333333332,0.04413793103448276,0.1333333333333333,0.028505747126436783,False,False,True
IBS-S-01_s6_t4_IBS-U-IJN-HATSUYUKI_1S1S2P1P-0,IBS-S-01,4,3,0.0,0.0,0.1333333333333333,0.0,0.0,0.04413793103448276,0.1333333333333333,0.03402298850574713,False,False,False
IBS-S-01_s6_t4_IBS-U-IJN-FURUTAKA_2P2P-0,IBS-S-01,4,3,0.0,0.0,0.1333333333333333,0.006896551724137931,0.15624999999999997,0.04413793103448276,0.1333333333333333,0.07908045977011494,False,False,False
IBS-S-01_s7_t2_IBS-U-IJN-AOBA_1P1P2-0,IBS-S-01,2,4,0.0,0.0,0.26666666666666666,0.005952380952380952,0.1851851851851852,0.03214285714285714,0.5333333333333334,0.07063492063492063,True,False,False
