match_id,scenario,seed,turn,side,ship_id,ship_type,hull_frac,speed,avg_enemy_dist,min_enemy_dist,p_attack,p_reply,lfr,herfindahl,attacker_count,lambda2_own,force_ratio,n_alive_own,n_alive_enemy,axis_profile,allies_profile,damage_next,damaged,crosscheck_matched,crosscheck_total
IBS-S-03-000,IBS-S-03,20560918,2,allies,IBS-U-RN-JAVELIN,DD,1.0,4.0,9.666666666666666,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,2,allies,IBS-U-RN-KASHMIR,DD,1.0,3.0,11.666666666666666,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,2,allies,IBS-U-RN-JERSEY,DD,1.0,4.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,2,allies,IBS-U-RN-JACKAL,DD,1.0,5.0,12.333333333333334,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,2,allies,IBS-U-RN-JUPITER,DD,1.0,5.0,12.333333333333334,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,0,0
IBS-S-03-000,IBS-S-03,20560918,3,axis,IBS-U-KM-KARL-GALSTER,DD,1.0,4.0,8.0,2.0,1.1388888888888888,1.0277777777777777,1.1030927835051547,1.0,1.0,0.0,1.3888888888888888,3.0,5.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,3,axis,IBS-U-KM-RICHARD-BEITZEN,DD,1.0,1.0,10.4,4.0,1.4722222222222223,1.4166666666666667,1.0378787878787878,1.0,1.0,0.0,1.3888888888888888,3.0,5.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,3,axis,IBS-U-KM-HANS-LODY,DD,1.0,4.0,13.6,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3888888888888888,3.0,5.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,3,allies,IBS-U-RN-JAVELIN,DD,1.0,5.0,5.0,2.0,2.4444444444444446,1.4722222222222223,1.6386861313868613,0.5126549586776858,2.0,0.0,0.72,5.0,3.0,balanced,balanced,2,1,1,1
IBS-S-03-000,IBS-S-03,20560918,3,allies,IBS-U-RN-KASHMIR,DD,1.0,5.0,13.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,3,allies,IBS-U-RN-JERSEY,DD,1.0,3.0,7.666666666666667,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,3,allies,IBS-U-RN-JACKAL,DD,1.0,2.0,13.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,3,allies,IBS-U-RN-JUPITER,DD,1.0,5.0,14.666666666666666,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,4,axis,IBS-U-KM-KARL-GALSTER,DD,1.0,5.0,6.2,2.0,2.0,0.75,2.5624999999999996,0.5003858024691357,2.0,0.0,1.2777777777777777,3.0,5.0,balanced,balanced,4,1,1,1
IBS-S-03-000,IBS-S-03,20560918,4,axis,IBS-U-KM-RICHARD-BEITZEN,DD,1.0,2.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2777777777777777,3.0,5.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,4,axis,IBS-U-KM-HANS-LODY,DD,1.0,5.0,10.6,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2777777777777777,3.0,5.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,4,allies,IBS-U-RN-JAVELIN,DD,0.6,5.0,5.0,2.0,1.1388888888888888,1.0277777777777777,1.1030927835051547,1.0,1.0,0.0,0.782608695652174,5.0,3.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,4,allies,IBS-U-RN-KASHMIR,DD,1.0,6.0,13.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,4,allies,IBS-U-RN-JERSEY,DD,1.0,4.0,6.666666666666667,3.0,0.75,0.9722222222222222,0.7826086956521741,1.0,1.0,0.0,0.782608695652174,5.0,3.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,4,allies,IBS-U-RN-JACKAL,DD,1.0,3.0,11.333333333333334,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,balanced,balanced,0,0,1,1
IBS-S-03-000,IBS-S-03,20560918,4,allies,IBS-U-RN-JUPITER,DD,1.0,1.0,10.333333333333334,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.782608695652174,5.0,3.0,balanced,balanced,0,0,1,1
IBS-S-03-002,IBS-S-03,21150302,1,axis,IBS-U-KM-KARL-GALSTER,DD,1.0,4.0,5.4,4.0,0.75,1.4166666666666667,0.5454545454545454,1.0,1.0,0.0,1.3888888888888888,3.0,5.0,cautious,balanced,0,0,2,2
IBS-S-03-002,IBS-S-03,21150302,1,axis,IBS-U-KM-RICHARD-BEITZEN,DD,1.0,6.0,10.2,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3888888888888888,3.0,5.0,cautious,balanced,0,0,2,2
IBS-S-03-002,IBS-S-03,21150302,1,axis,IBS-U-KM-HANS-LODY,DD,1.0,6.0,4.4,3.0,2.9166666666666665,1.75,1.648148148148148,0.33333333333333337,3.0,0.0,1.3888888888888888,3.0,5.0,cautious,balanced,1,1,2,2
IBS-S-03-002,IBS-S-03,21150302,1,allies,IBS-U-RN-JAVELIN,DD,1.0,6.0,7.333333333333333,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,cautious,balanced,0,0,2,2
IBS-S-03-002,IBS-S-03,21150302,1,allies,IBS-U-RN-KASHMIR,DD,1.0,4.0,5.0,4.0,2.2777777777777777,0.9722222222222222,2.277173913043478,0.5297441998810234,2.0,0.0,0.72,5.0,3.0,cautious,balanced,1,1,2,2
IBS-S-03-002,IBS-S-03,21150302,1,allies,IBS-U-RN-JERSEY,DD,1.0,4.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.72,5.0,3.0,cautious,balanced,0,0,2,2
IBS-S-03-002,IBS-S-03,21150302,1,allies,IBS-U-RN-JACKAL,DD,1.0,3.0,7.0,4.0,1.75,0.9722222222222222,1.7608695652173916,1.0,1.0,0.0,0.72,5.0,3.0,cautious,balanced,0,0,2,2
IBS-S-03-002,IBS-S-03,21150302,1,allies,IBS-U-RN-JUPITER,DD,1.0,3.0,7.0,3.0,1.75,0.9722222222222222,1.7608695652173916,1.0,1.0,0.0,0.72,5.0,3.0,cautious,balanced,0,0,2,2
IBS-S-03-002,IBS-S-03,21150302,2,axis,IBS-U-KM-KARL-GALSTER,DD,1.0,5.0,6.6,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.411764705882353,3.0,5.0,cautious,balanced,0,0,1,1
IBS-S-03-002,IBS-S-03,21150302,2,axis,IBS-U-KM-RICHARD-BEITZEN,DD,1.0,6.0,15.4,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.411764705882353,3.0,5.0,cautious,balanced,0,0,1,1
IBS-S-03-002,IBS-S-03,21150302,2,axis,IBS-U-KM-HANS-LODY,DD,0.8333333333333334,6.0,4.0,2.0,3.9444444444444446,0.75,4.993055555555555,0.2525292600674469,4.0,0.0,1.411764705882353,3.0,5.0,cautious,balanced,5,1,1,1
IBS-S-03-002,IBS-S-03,21150302,2,allies,IBS-U-RN-JAVELIN,DD,1.0,3.0,9.666666666666666,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7083333333333334,5.0,3.0,cautious,balanced,0,0,1,1
IBS-S-03-002,IBS-S-03,21150302,2,allies,IBS-U-RN-KASHMIR,DD,0.8,4.0,9.333333333333334,3.0,0.9722222222222222,0.8611111111111112,1.121951219512195,1.0,1.0,0.0,0.7083333333333334,5.0,3.0,cautious,balanced,0,0,1,1
IBS-S-03-002,IBS-S-03,21150302,2,allies,IBS-U-RN-JERSEY,DD,1.0,5.0,7.333333333333333,3.0,0.75,0.9722222222222222,0.7826086956521741,1.0,1.0,0.0,0.7083333333333334,5.0,3.0,cautious,balanced,0,0,1,1
IBS-S-03-002,IBS-S-03,21150302,2,allies,IBS-U-RN-JACKAL,DD,1.0,5.0,8.333333333333334,2.0,1.1388888888888888,1.1388888888888888,1.0,1.0,1.0,0.0,0.7083333333333334,5.0,3.0,cautious,balanced,0,0,1,1
IBS-S-03-002,IBS-S-03,21150302,2,allies,IBS-U-RN-JUPITER,DD,1.0,5.0,8.666666666666666,4.0,0.75,0.9722222222222222,0.7826086956521741,1.0,1.0,0.0,0.7083333333333334,5.0,3.0,cautious,balanced,0,0,1,1
IBS-S-03-002,IBS-S-03,21150302,3,axis,IBS-U-KM-KARL-GALSTER,DD,1.0,5.0,7.6,2.0,1.1388888888888888,1.6666666666666667,0.6925566343042071,1.0,1.0,0.0,2.0,2.0,5.0,cautious,balanced,1,1,1,1
