eta_v,eta_omega,geometry,R_plan,peak_ratio,share_ratio
0.75,0.7,parallel,turn+30,0.1,0.0
0.75,0.7,parallel,turn+60,0.1195,0.0
0.75,0.7,parallel,turn+90,0.118,0.0
0.75,0.7,parallel,turn+120,0.118,0.0
0.75,0.7,parallel,turn+180,0.118,0.0
0.75,0.7,parallel,turn-30,0.7318,0.025
0.75,0.7,parallel,turn-60,1.0,0.05
0.75,0.7,parallel,turn-90,0.7195,0.025
0.75,0.7,parallel,turn-120,0.0,0.0
0.75,0.7,parallel,turn-180,0.35,0.0
0.8,0.7,parallel,straight,0.3849,0.0
0.8,0.7,parallel,turn+30,0.1813,0.0
0.8,0.7,parallel,turn+60,0.107,0.0
0.8,0.7,parallel,turn+90,0.1674,0.0
0.8,0.7,parallel,turn+120,0.1246,0.0
0.8,0.7,parallel,turn+180,0.1237,0.0
0.8,0.7,parallel,turn-30,0.3955,0.0
0.8,0.7,parallel,turn-60,1.0,0.025
0.8,0.7,parallel,turn-90,0.0,0.0
0.8,0.7,parallel,turn-120,0.0,0.0
0.8,0.7,parallel,turn-180,0.4787,0.0
0.85,0.7,parallel,straight,0.4395,0.0
0.85,0.7,parallel,turn+30,0.2077,0.0
0.85,0.7,parallel,turn+60,0.1134,0.0
0.85,0.7,parallel,turn+90,0.1428,0.0
0.85,0.7,parallel,turn+120,0.1381,0.0
0.85,0.7,parallel,turn+180,0.1295,0.0
0.85,0.7,parallel,turn-30,0.4182,0.0
0.85,0.7,parallel,turn-60,1.0,0.025
0.85,0.7,parallel,turn-90,0.7338,0.025
0.85,0.7,parallel,turn-120,0.0,0.0
0.85,0.7,parallel,turn-180,0.512,0.025
0.9,0.7,parallel,straight,0.4531,0.0
0.9,0.7,parallel,turn+30,0.2806,0.0
0.9,0.7,parallel,turn+60,0.1096,0.0
0.9,0.7,parallel,turn+90,0.153,0.0
0.9,0.7,parallel,turn+120,0.1389,0.0
0.9,0.7,parallel,turn+180,0.1237,0.0
0.9,0.7,parallel,turn-30,1.0,0.025
0.9,0.7,parallel,turn-60,0.878,0.025
0.9,0.7,parallel,turn-90,0.7061,0.025
0.9,0.7,parallel,turn-120,0.0,0.0
0.9,0.7,parallel,turn-180,0.4975,0.0
0.95,0.7,parallel,straight,0.6095,0.025
0.95,0.7,parallel,turn+30,0.3108,0.0
0.95,0.7,parallel,turn+60,0.1052,0.0
0.95,0.7,parallel,turn+90,0.1545,0.0
0.95,0.7,parallel,turn+120,0.1387,0.0
0.95,0.7,parallel,turn+180,0.1173,0.0
0.95,0.7,parallel,turn-30,1.0,0.025
0.95,0.7,parallel,turn-60,0.7632,0.025
0.95,0.7,parallel,turn-90,0.6708,0.025
0.95,0.7,parallel,turn-120,0.0,0.0
0.95,0.7,parallel,turn-180,0.4783,0.0
1.0,0.7,parallel,straight,0.7002,0.025
1.0,0.7,parallel,turn+30,0.3694,0.0
1.0,0.7,parallel,turn+60,0.1424,0.0
1.0,0.7,parallel,turn+90,0.1617,0.0
1.0,0.7,parallel,turn+120,0.1483,0.0
1.0,0.7,parallel,turn+180,0.1193,0.0
1.0,0.7,parallel,turn-30,1.0,0.025
1.0,0.7,parallel,turn-60,0.761,0.025
1.0,0.7,parallel,turn-90,0.6792,0.025
1.0,0.7,parallel,turn-120,0.0,0.0
1.0,0.7,parallel,turn-180,0.4915,0.0
1.05,0.7,parallel,straight,0.1947,0.0
1.05,0.7,parallel,turn+30,0.1938,0.0
1.05,0.7,parallel,turn+60,0.1948,0.0
1.05,0.7,parallel,turn+90,0.1983,0.0
1.05,0.7,parallel,turn+120,0.1298,0.0
1.05,0.7,parallel,turn+180,0.3623,0.0
1.05,0.7,parallel,turn-30,0.1971,0.0
1.05,0.7,parallel,turn-60,0.0,0.0
1.05,0.7,parallel,turn-90,1.0,0.025
1.05,0.7,parallel,turn-120,0.0,0.0
1.05,0.7,parallel,turn-180,0.7525,0.05
1.1,0.7,parallel,straight,0.1894,0.0
1.1,0.7,parallel,turn+30,0.1913,0.0
1.1,0.7,parallel,turn+60,0.2077,0.0
1.1,0.7,parallel,turn+90,0.2402,0.0
1.1,0.7,parallel,turn+120,0.1351,0.0
1.1,0.7,parallel,turn+180,0.3609,0.0
1.1,0.7,parallel,turn-30,0.1889,0.0
1.1,0.7,parallel,turn-60,1.0,0.025
1.1,0.7,parallel,turn-90,0.9761,0.025
1.1,0.7,parallel,turn-120,0.0,0.0
1.1,0.7,parallel,turn-180,0.7122,0.05
1.15,0.7,parallel,straight,0.1908,0.0
1.15,0.7,parallel,turn+30,0.2091,0.0
1.15,0.7,parallel,turn+60,0.2478,0.0
1.15,0.7,parallel,turn+90,0.275,0.0
1.15,0.7,parallel,turn+120,0.1386,0.0
1.15,0.7,parallel,turn+180,0.4186,0.0
1.15,0.7,parallel,turn-30,0.0,0.0
1.15,0.7,parallel,turn-60,1.0,0.025
1.15,0.7,parallel,turn-90,0.9907,0.025
1.15,0.7,parallel,turn-120,0.0,0.0
1.15,0.7,parallel,turn-180,0.6989,0.05
1.2,0.7,parallel,straight,0.1904,0.0
1.2,0.7,parallel,turn+30,0.2293,0.0
1.2,0.7,parallel,turn+60,0.2721,0.0
1.2,0.7,parallel,turn+90,0.2947,0.0
1.2,0.7,parallel,turn+120,0.1409,0.0
1.2,0.7,parallel,turn+180,0.4323,0.0
1.2,0.7,parallel,turn-30,0.8853,0.025
1.2,0.7,parallel,turn-60,0.995,0.025
1.2,0.7,parallel,turn-90,1.0,0.025
1.2,0.7,parallel,turn-120,0.0,0.0
1.2,0.7,parallel,turn-180,0.6805,0.05
1.25,0.7,parallel,straight,0.1911,0.0
1.25,0.7,parallel,turn+30,0.249,0.0
1.25,0.7,parallel,turn+60,0.2887,0.0
1.25,0.7,parallel,turn+90,0.3179,0.0
