phase,cell,metric,old,amended,difference
capability,head_on_high_blue,FF,5.656331213744325,5.656331213744325,0.0
capability,head_on_high_blue,CC,2.7663674680948143,2.7663674680948143,0.0
capability,head_on_high_blue,FC,8.830412318038462,8.830412318038462,0.0
capability,head_on_high_blue,CF,-0.19402910801001327,-0.19402910801001327,0.0
capability,head_on_high_red,FF,-5.656331213744323,-5.656331213744323,0.0
capability,head_on_high_red,CC,-2.7663674680948165,-2.7663674680948165,0.0
capability,head_on_high_red,FC,0.1940291080100114,0.1940291080100114,0.0
capability,head_on_high_red,CF,-8.83041231803846,-8.83041231803846,0.0
capability,head_on_low_blue,FF,3.851572759169193,3.851572759169193,0.0
capability,head_on_low_blue,CC,1.1682721575517903,1.1682721575517903,0.0
capability,head_on_low_blue,FC,6.952513488889494,6.952513488889494,0.0
capability,head_on_low_blue,CF,-2.5336780933174183,-2.5336780933174183,0.0
capability,head_on_low_red,FF,-3.851572759169191,-3.851572759169191,0.0
capability,head_on_low_red,CC,-1.1682721575517911,-1.1682721575517911,0.0
capability,head_on_low_red,FC,2.533678093317418,2.533678093317418,0.0
capability,head_on_low_red,CF,-6.952513488889491,-6.952513488889491,0.0
capability,parallel_high_blue,FF,0.8628678550771256,0.8628678550771256,0.0
capability,parallel_high_blue,CC,2.0051194934717524,2.0051194934717524,0.0
capability,parallel_high_blue,FC,4.43756736526625,4.43756736526625,0.0
capability,parallel_high_blue,CF,0.008524779553473536,0.008524779553473536,0.0
capability,parallel_high_red,FF,-0.8628678550771246,-0.8628678550771246,0.0
capability,parallel_high_red,CC,-2.0051194934717524,-2.0051194934717524,0.0
capability,parallel_high_red,FC,-0.008524779553473708,-0.008524779553473708,0.0
capability,parallel_high_red,CF,-4.437567365266262,-4.437567365266262,0.0
capability,parallel_low_blue,FF,0.0,0.0,0.0
capability,parallel_low_blue,CC,0.33813584234714855,0.33813584234714855,0.0
capability,parallel_low_blue,FC,0.9653256962181103,0.9653256962181103,0.0
capability,parallel_low_blue,CF,-0.421961499061872,-0.421961499061872,0.0
capability,parallel_low_red,FF,0.0,0.0,0.0
capability,parallel_low_red,CC,-0.338135842347147,-0.338135842347147,0.0
capability,parallel_low_red,FC,0.42196149906187136,0.42196149906187136,0.0
capability,parallel_low_red,CF,-0.9653256962181096,-0.9653256962181096,0.0
mechanism_discovery,crossing_0.7,Theta_alpha0.9,0.11957094313605682,0.11957094313605682,0.0
mechanism_discovery,crossing_0.7,R_raw_alpha0.9,0.4822431960763258,0.4822431960763258,0.0
mechanism_discovery,crossing_0.7,directed_drift_alpha0.9,4.81730936919173,4.81730936919173,0.0
mechanism_discovery,crossing_0.7,centroid_drift_alpha0.9,4.8803708991326396,4.8803708991326396,0.0
mechanism_discovery,crossing_0.7,hausdorff_alpha0.9,6.793922072358022,6.793922072358022,0.0
mechanism_discovery,crossing_0.7,raw_ratio_alpha0.9,0.11070521886263225,0.11070521886263225,0.0
mechanism_discovery,crossing_0.7,Theta_alpha0.8,0.13977069427305555,0.13977069427305555,0.0
mechanism_discovery,crossing_0.7,R_raw_alpha0.8,0.3245639225904543,0.3245639225904543,0.0
mechanism_discovery,crossing_0.7,directed_drift_alpha0.8,3.7722968705524664,3.7722968705524664,0.0
mechanism_discovery,crossing_0.7,centroid_drift_alpha0.8,4.6027924408338174,4.6027924408338174,0.0
mechanism_discovery,crossing_0.7,hausdorff_alpha0.8,6.16227766016838,6.16227766016838,0.0
mechanism_discovery,crossing_0.7,raw_ratio_alpha0.8,0.06745779366537194,0.06745779366537194,0.0
mechanism_discovery,crossing_0.85,Theta_alpha0.9,0.10833453016332772,0.10833453016332772,0.0
mechanism_discovery,crossing_0.85,R_raw_alpha0.9,0.029220058750568434,0.029220058750568434,0.0
mechanism_discovery,crossing_0.85,directed_drift_alpha0.9,4.873692197561,4.873692197561,0.0
mechanism_discovery,crossing_0.85,centroid_drift_alpha0.9,5.5577955010083615,5.5577955010083615,0.0
mechanism_discovery,crossing_0.85,hausdorff_alpha0.9,7.193767306409247,7.193767306409247,0.0
mechanism_discovery,crossing_0.85,raw_ratio_alpha0.9,-0.0059417678535559175,-0.0059417678535559175,0.0
mechanism_discovery,crossing_0.85,Theta_alpha0.8,0.11112945868415344,0.11112945868415344,0.0
mechanism_discovery,crossing_0.85,R_raw_alpha0.8,-0.007806064462319351,-0.007806064462319351,0.0
mechanism_discovery,crossing_0.85,directed_drift_alpha0.8,3.7722968705524664,3.7722968705524664,0.0
mechanism_discovery,crossing_0.85,centroid_drift_alpha0.8,4.538353973859537,4.538353973859537,0.0
mechanism_discovery,crossing_0.85,hausdorff_alpha0.8,5.99070478491457,5.99070478491457,0.0
mechanism_discovery,crossing_0.85,raw_ratio_alpha0.8,-0.03430480072487563,-0.03430480072487563,0.0
mechanism_discovery,crossing_1.15,Theta_alpha0.9,0.06040835046221898,0.06040835046221898,0.0
mechanism_discovery,crossing_1.15,R_raw_alpha0.9,-0.15173567052636994,-0.15173567052636994,0.0
mechanism_discovery,crossing_1.15,directed_drift_alpha0.9,4.857878784233826,4.857878784233826,0.0
mechanism_discovery,crossing_1.15,centroid_drift_alpha0.9,5.024471012502462,5.024471012502462,0.0
mechanism_discovery,crossing_1.15,hausdorff_alpha0.9,6.327430956417352,6.327430956417352,0.0
mechanism_discovery,crossing_1.15,raw_ratio_alpha0.9,-0.09808197491469986,-0.09808197491469986,0.0
mechanism_discovery,crossing_1.15,Theta_alpha0.8,0.06789422011016362,0.06789422011016362,0.0
mechanism_discovery,crossing_1.15,R_raw_alpha0.8,-0.283643740785241,-0.283643740785241,0.0
mechanism_discovery,crossing_1.15,directed_drift_alpha0.8,3.7722968705524664,3.7722968705524664,0.0
mechanism_discovery,crossing_1.15,centroid_drift_alpha0.8,4.3604045163815845,4.3604045163815845,0.0
mechanism_discovery,crossing_1.15,hausdorff_alpha0.8,6.046768803601324,6.046768803601324,0.0
mechanism_discovery,crossing_1.15,raw_ratio_alpha0.8,-0.2096982397980125,-0.2096982397980125,0.0
mechanism_discovery,crossing_1.3,Theta_alpha0.9,0.01674756835434261,0.01674756835434261,0.0
mechanism_discovery,crossing_1.3,R_raw_alpha0.9,-0.6131987475593035,-0.6131987475593035,0.0
mechanism_discovery,crossing_1.3,directed_drift_alpha0.9,4.997179806162406,4.997179806162406,0.0
mechanism_discovery,crossing_1.3,centroid_drift_alpha0.9,4.989566332429753,4.989566332429753,0.0
mechanism_discovery,crossing_1.3,hausdorff_alpha0.9,6.327430956417352,6.327430956417352,0.0
mechanism_discovery,crossing_1.3,raw_ratio_alpha0.9,-0.1596653666682139,-0.1596653666682139,0.0
mechanism_discovery,crossing_1.3,Theta_alpha0.8,0.02651911899517647,0.02651911899517647,0.0
mechanism_discovery,crossing_1.3,R_raw_alpha0.8,-0.6367298081819313,-0.6367298081819313,0.0
mechanism_discovery,crossing_1.3,directed_drift_alpha0.8,3.7785869155082947,3.7785869155082947,0.0
mechanism_discovery,crossing_1.3,centroid_drift_alpha0.8,4.346113897916146,4.346113897916146,0.0
mechanism_discovery,crossing_1.3,hausdorff_alpha0.8,5.99070478491457,5.99070478491457,0.0
mechanism_discovery,crossing_1.3,raw_ratio_alpha0.8,-0.1903891720054376,-0.1903891720054376,0.0
