phase,geometry,speed,alpha,n_epochs,n_defined,n_episodes_defined,negative_correction_fraction,zero_drift_fraction,outside_domain_fraction,Theta,Theta_centroid,Theta_hausdorff,R_raw,directed_drift,centroid_drift,hausdorff,raw_ratio,nonnegative_ratio,opponent_heading_change,Theta_probe_q25,Theta_probe_q75
discovery,parallel,0.7,0.9,192,192,32,0.328125,0.13541666666666666,0.2760416666666667,0.16042502759905913,0.14574224388763574,0.11779082679307785,0.6499195580535213,4.817309369191731,4.8803708991326396,6.793922072358022,0.16567227857114347,0.1949474469335234,60.0,0.07169155887497417,0.2729763161686152
discovery,parallel,0.7,0.8,192,192,32,0.3333333333333333,0.13541666666666666,0.2760416666666667,0.18167968683354674,0.1683927955391491,0.13796876402164243,1.049963214704453,3.7722968705524664,4.6027924408338174,6.162277660168379,0.23421776811914286,0.24576933289588804,60.0,0.08660939283765376,0.3157344962979944
discovery,parallel,0.85,0.9,192,192,32,0.390625,0.13541666666666666,0.265625,0.12392894074217045,0.10724811903665792,0.11057931782077934,0.5921332552991008,4.873692197561,5.5577955010083615,7.193767306409247,0.09980091891960771,0.14479406773172981,60.0,0.06430009461650915,0.2349483459432073
discovery,parallel,0.85,0.8,192,192,32,0.3854166666666667,0.13541666666666666,0.265625,0.170126000399741,0.1442108019812796,0.12999692122666887,0.8056055331106649,3.7722968705524664,4.538353973859537,5.99070478491457,0.19199221170406616,0.23235669898735667,60.0,0.06106233147460538,0.2783524991838634
discovery,parallel,1.0,0.9,192,192,32,0.4322916666666667,0.13541666666666666,0.2760416666666667,0.11105882286863668,0.10985111510918623,0.10340045620986651,0.4570092232427512,5.0610515989899705,5.30139898629011,6.654861912834704,0.08156315066933384,0.1427707188111983,60.0,0.047978441383765,0.22975875344665128
discovery,parallel,1.0,0.8,192,192,32,0.4166666666666667,0.13541666666666666,0.2760416666666667,0.1506873583142122,0.13670274402377622,0.11193212721351403,0.47016614592418593,3.7785869155082947,4.751699885444399,6.558043945945933,0.15356885385339358,0.2005974239671788,60.0,0.04754923622953448,0.2459793756575321
discovery,parallel,1.15,0.9,192,192,32,0.4583333333333333,0.13541666666666666,0.296875,0.10163720980421038,0.10457650264775939,0.08397453279837802,0.006449851534748641,4.857878784233826,5.024471012502462,6.327430956417352,0.025369968545234663,0.1280381820981103,60.0,0.0,0.2082142969510761
discovery,parallel,1.15,0.8,192,192,32,0.4583333333333333,0.13541666666666666,0.296875,0.10970593085043052,0.08986880040246484,0.06839086502457802,-0.03521195629331597,3.7722968705524664,4.3604045163815845,6.046768803601324,-0.017651603422941184,0.1245155027571826,60.0,0.0,0.20351439877766
discovery,parallel,1.3,0.9,192,192,32,0.4791666666666667,0.13541666666666666,0.3177083333333333,0.09513866399258653,0.09406221129428051,0.0728669979905511,-0.34386657666002574,4.997179806162406,4.989566332429753,6.327430956417352,-0.017884812303531325,0.11749536882282632,60.0,0.0,0.21385521742099567
discovery,parallel,1.3,0.8,192,192,32,0.4739583333333333,0.13541666666666666,0.3177083333333333,0.07440839819435326,0.06463279627741174,0.0576681784900983,-0.7042193740633644,3.7785869155082947,4.346113897916146,5.99070478491457,-0.13752347450644486,0.08741760631396697,60.0,0.0,0.18383792329521204
