id,phase,geometry,contrast,opponent_policy,v_low,v_high,opponent_speed,F_low,F_high,M,LB,UB,interval_width,positive,reversal,strong_reversal,mirror_M_error,delta_Theta_0.9,delta_Theta_centroid_0.9,delta_Theta_hausdorff_0.9,delta_R_raw_0.9,delta_directed_drift_0.9,delta_centroid_drift_0.9,delta_hausdorff_0.9,delta_raw_ratio_0.9,delta_nonnegative_ratio_0.9,delta_opponent_heading_change_0.9,delta_Theta_0.8,delta_Theta_centroid_0.8,delta_Theta_hausdorff_0.8,delta_R_raw_0.8,delta_directed_drift_0.8,delta_centroid_drift_0.8,delta_hausdorff_0.8,delta_raw_ratio_0.8,delta_nonnegative_ratio_0.8,delta_opponent_heading_change_0.8,Theta_low,Theta_high
parallel_adjacent2_F,discovery,parallel,adjacent2,F,0.85,1,1.0,4.578523438872283,3.406573724064325,-1.1719497148079583,-1.1719497148079783,-1.171949714807933,4.529709940470639e-14,False,True,True,1.7763568394002505e-15,-0.012870117873533773,0.002602996072528313,-0.007178861610912829,-0.1351240320563496,0.18735940142897078,-0.25639651471825164,-0.5389053935745425,-0.018237768250273872,-0.0020233489205315203,0.0,-0.019438642085528784,-0.0075080579575033946,-0.018064794013154833,-0.3354393871864789,0.0062900449558283,0.21334591158486216,0.567339161031363,-0.03842335785067258,-0.03175927502017786,0.0,0.12392894074217045,0.11105882286863668
parallel_adjacent2_C,discovery,parallel,adjacent2,C,0.85,1,1.0,2.8746625542452033,3.406573724064332,0.5319111698191286,0.531911169818791,0.5319111698194656,6.745715097622451e-13,True,False,False,9.325873406851315e-15,-0.012870117873533773,0.002602996072528313,-0.007178861610912829,-0.1351240320563496,0.18735940142897078,-0.25639651471825164,-0.5389053935745425,-0.018237768250273872,-0.0020233489205315203,0.0,-0.019438642085528784,-0.0075080579575033946,-0.018064794013154833,-0.3354393871864789,0.0062900449558283,0.21334591158486216,0.567339161031363,-0.03842335785067258,-0.03175927502017786,0.0,0.12392894074217045,0.11105882286863668
parallel_adjacent3_F,discovery,parallel,adjacent3,F,1,1.15,1.0,3.406573724064325,2.915094654910945,-0.4914790691533799,-0.49147906915340744,-0.4914790691533555,5.1958437552457326e-14,False,True,True,5.329070518200751e-15,-0.009421613064426293,-0.005274612461426839,-0.019425923411488494,-0.45055937170800253,-0.20317281475614468,-0.27692797378764755,-0.3274309564173521,-0.05619318212409918,-0.014732536713087996,0.0,-0.04098142746378168,-0.04683394362131138,-0.04354126218893602,-0.5053781022175019,-0.0062900449558283,-0.3912953690628145,-0.5112751423446085,-0.17122045727633478,-0.07608192120999621,0.0,0.11105882286863668,0.10163720980421038
parallel_adjacent3_C,discovery,parallel,adjacent3,C,1,1.15,1.0,3.406573724064332,4.210644309789885,0.8040705857255528,0.8040705857254138,0.8040705857256949,2.8110846983508964e-13,True,False,False,9.769962616701378e-15,-0.009421613064426293,-0.005274612461426839,-0.019425923411488494,-0.45055937170800253,-0.20317281475614468,-0.27692797378764755,-0.3274309564173521,-0.05619318212409918,-0.014732536713087996,0.0,-0.04098142746378168,-0.04683394362131138,-0.04354126218893602,-0.5053781022175019,-0.0062900449558283,-0.3912953690628145,-0.5112751423446085,-0.17122045727633478,-0.07608192120999621,0.0,0.11105882286863668,0.10163720980421038
parallel_adjacent4_F,discovery,parallel,adjacent4,F,1.15,1.3,1.0,2.915094654910945,1.897687618726574,-1.0174070361843708,-1.0174070361844043,-1.017407036184339,6.52811138479592e-14,False,True,True,3.552713678800501e-15,-0.00649854581162386,-0.01051429135347888,-0.011107534807826919,-0.3503164281947744,0.1393010219285804,-0.034904680072709304,0.0,-0.04325478084876599,-0.010542813275283974,0.0,-0.03529753265607727,-0.0252360041250531,-0.010722686534479713,-0.6690074177700485,0.0062900449558283,-0.014290618465438776,-0.05606401868675448,-0.11987187108350368,-0.03709789644321562,0.0,0.10163720980421038,0.09513866399258653
parallel_adjacent4_C,discovery,parallel,adjacent4,C,1.15,1.3,1.0,4.210644309789885,3.874980277400676,-0.3356640323892086,-0.3356640323893254,-0.33566403238909714,2.282618538629322e-13,False,True,True,2.220446049250313e-15,-0.00649854581162386,-0.01051429135347888,-0.011107534807826919,-0.3503164281947744,0.1393010219285804,-0.034904680072709304,0.0,-0.04325478084876599,-0.010542813275283974,0.0,-0.03529753265607727,-0.0252360041250531,-0.010722686534479713,-0.6690074177700485,0.0062900449558283,-0.014290618465438776,-0.05606401868675448,-0.11987187108350368,-0.03709789644321562,0.0,0.10163720980421038,0.09513866399258653
crossing_adjacent1_F,discovery,crossing,adjacent1,F,0.7,0.85,1.0,5.035148723970134,3.90336794014818,-1.131780783821954,-1.1317807838219887,-1.1317807838219185,7.016609515630989e-14,False,True,True,1.3766765505351941e-14,-0.011236412972729093,-0.02346124834739688,-0.025425894517745115,-0.4530231373257574,0.05638282836926933,0.677424601875722,0.39984523405122463,-0.11664698671618817,-0.018358263868068214,0.0,-0.02864123558890211,-0.030412095912009024,-0.024558014039614648,-0.33236998705277365,0.0,-0.06443846697428057,-0.17157287525381015,-0.10176259439024757,-0.0534248350097834,0.0,0.11957094313605682,0.10833453016332772
crossing_adjacent1_C,discovery,crossing,adjacent1,C,0.7,0.85,1.0,1.7858828249806522,1.3627484685681859,-0.42313435641246633,-0.4231343564145089,-0.4231343564104233,4.085620730620576e-12,False,True,True,2.4424906541753444e-15,-0.011236412972729093,-0.02346124834739688,-0.025425894517745115,-0.4530231373257574,0.05638282836926933,0.677424601875722,0.39984523405122463,-0.11664698671618817,-0.018358263868068214,0.0,-0.02864123558890211,-0.030412095912009024,-0.024558014039614648,-0.33236998705277365,0.0,-0.06443846697428057,-0.17157287525381015,-0.10176259439024757,-0.0534248350097834,0.0,0.11957094313605682,0.10833453016332772
crossing_adjacent2_F,discovery,crossing,adjacent2,F,0.85,1,1.0,3.90336794014818,2.5257561568543467,-1.3776117832938333,-1.3776117832938612,-1.3776117832938035,5.773159728050814e-14,False,True,True,4.440892098500626e-16,-0.022557786279013697,-0.00911620287672922,-1.8477864595564664e-05,-0.12102373407571188,0.1873594014289699,-0.25639651471825164,-0.5389053935745434,-0.07667484581768737,-0.03817137780043783,0.0,-0.021290295076292126,-0.015175353990974028,-0.007200863464466703,-0.07746903594406063,0.0062900449558283,0.21334591158486216,0.567339161031363,-0.11215891388276128,-0.03301963715492265,0.0,0.10833453016332772,0.08577674388431403
crossing_adjacent2_C,discovery,crossing,adjacent2,C,0.85,1,1.0,1.3627484685681859,2.5257561568543525,1.1630076882861666,1.1630076882844689,1.1630076882878622,3.3932856524643285e-12,True,False,False,5.995204332975845e-15,-0.022557786279013697,-0.00911620287672922,-1.8477864595564664e-05,-0.12102373407571188,0.1873594014289699,-0.25639651471825164,-0.5389053935745434,-0.07667484581768737,-0.03817137780043783,0.0,-0.021290295076292126,-0.015175353990974028,-0.007200863464466703,-0.07746903594406063,0.0062900449558283,0.21334591158486216,0.567339161031363,-0.11215891388276128,-0.03301963715492265,0.0,0.10833453016332772,0.08577674388431403
crossing_adjacent3_F,discovery,crossing,adjacent3,F,1,1.15,1.0,2.5257561568543467,0.888763374525507,-1.6369927823288397,-1.6369927823288708,-1.6369927823288095,6.128431095930864e-14,False,True,True,1.1324274851176597e-14,-0.02536839342209505,-0.030926313924975107,-0.024642806447439575,-0.059931995201226496,-0.2031728147561438,-0.27692797378764755,-0.3274309564173512,-0.015465361243456571,-0.030941194040273873,0.0,-0.021944943497697697,-0.02075373626743049,-0.023145759531399947,-0.19836864037886104,-0.0062900449558283,-0.3912953690628145,-0.5112751423446085,-0.06323452519037559,-0.031170661060800506,0.0,0.08577674388431403,0.06040835046221898
crossing_adjacent3_C,discovery,crossing,adjacent3,C,1,1.15,1.0,2.5257561568543525,1.8851556724629632,-0.6406004843913893,-0.6406004843916284,-0.6406004843911492,4.791722574282176e-13,False,True,True,1.3766765505351941e-14,-0.02536839342209505,-0.030926313924975107,-0.024642806447439575,-0.059931995201226496,-0.2031728147561438,-0.27692797378764755,-0.3274309564173512,-0.015465361243456571,-0.030941194040273873,0.0,-0.021944943497697697,-0.02075373626743049,-0.023145759531399947,-0.19836864037886104,-0.0062900449558283,-0.3912953690628145,-0.5112751423446085,-0.06323452519037559,-0.031170661060800506,0.0,0.08577674388431403,0.06040835046221898
crossing_adjacent4_F,discovery,crossing,adjacent4,F,1.15,1.3,1.0,0.888763374525507,1.8993320839122214,1.0105687093867144,1.0105687093866704,1.0105687093867584,8.79296635503124e-14,True,False,False,1.5543122344752192e-15,-0.04366078210787637,-0.03893278823720013,-0.03326611010296662,-0.46146307703293354,0.1393010219285804,-0.034904680072709304,0.0,-0.061583391753514044,-0.05218419797174509,0.0,-0.04137510111498715,-0.04916698834436234,-0.042050901143703356,-0.35308606739669024,0.0062900449558283,-0.014290618465438776,-0.05606401868675448,0.019309067792574908,-0.04903860816876475,0.0,0.06040835046221898,0.01674756835434261
crossing_adjacent4_C,discovery,crossing,adjacent4,C,1.15,1.3,1.0,1.8851556724629632,2.77876200047748,0.8936063280145166,0.8936063280122692,0.8936063280167461,4.476863324498481e-12,True,False,False,2.531308496145357e-14,-0.04366078210787637,-0.03893278823720013,-0.03326611010296662,-0.46146307703293354,0.1393010219285804,-0.034904680072709304,0.0,-0.061583391753514044,-0.05218419797174509,0.0,-0.04137510111498715,-0.04916698834436234,-0.042050901143703356,-0.35308606739669024,0.0062900449558283,-0.014290618465438776,-0.05606401868675448,0.019309067792574908,-0.04903860816876475,0.0,0.06040835046221898,0.01674756835434261
