task,mode,episode_seed,return,length
balance,random,9241,-37.27020263671875,28
balance,random,9242,-7.48004150390625,100
balance,random,9243,-34.51251983642578,77
balance,random,9244,-41.39854431152344,41
balance,random,9245,-4.4549102783203125,100
balance,random,9246,-43.73735046386719,32
balance,random,9247,-41.300514221191406,74
balance,random,9248,-3.745880126953125,100
balance,random,9249,-34.33012390136719,80
balance,random,9250,-34.84767150878906,50
balance,random,9251,-45.44700622558594,81
balance,random,9252,-41.01734161376953,85
balance,random,9253,-38.98292541503906,50
balance,random,9254,-35.27247619628906,74
balance,random,9255,-50.78887939453125,66
balance,random,9256,-39.549774169921875,50
balance,random,9257,-9.380813598632812,100
balance,random,9258,-34.76325988769531,58
balance,random,9259,-41.34132385253906,69
balance,random,9260,-1.9524078369140625,100
balance,random,9261,-1.4592132568359375,100
balance,random,9262,-10.821670532226562,100
balance,random,9263,-2.1087799072265625,100
balance,random,9264,-4.775665283203125,100
balance,random,9265,-44.25677490234375,77
balance,random,9266,-2.001251220703125,100
balance,random,9267,-37.722747802734375,31
balance,random,9268,-37.80237579345703,47
balance,random,9269,-5.007110595703125,100
balance,random,9270,-37.01275634765625,43
balance,random,9271,-41.86930847167969,75
balance,random,9272,-5.0274810791015625,100
balance,random,9273,-39.71296691894531,93
balance,random,9274,-40.75584411621094,46
balance,random,9275,-39.10075378417969,44
balance,random,9276,-5.08538818359375,100
balance,random,9277,-39.47785949707031,35
balance,random,9278,-5.604240417480469,100
balance,random,9279,-3.5050277709960938,100
balance,random,9280,-34.41316223144531,56
balance,random,9281,-45.808868408203125,72
balance,random,9282,-38.47416687011719,48
balance,random,9283,-38.47174072265625,39
balance,random,9284,-49.753761291503906,53
balance,random,9285,-35.68409729003906,52
balance,random,9286,-42.64306640625,33
balance,random,9287,-40.61860656738281,42
balance,random,9288,-12.762336730957031,100
balance,random,9289,-41.89888000488281,42
balance,random,9290,-45.27717590332031,66
balance,random,9291,-36.006591796875,59
balance,random,9292,-32.606964111328125,41
balance,random,9293,-33.076904296875,81
balance,random,9294,-47.67182922363281,89
balance,random,9295,-4.413482666015625,100
balance,random,9296,-40.816314697265625,48
balance,random,9297,-9.425651550292969,100
balance,random,9298,-42.53315734863281,40
balance,random,9299,-35.284149169921875,54
balance,random,9300,-39.65167236328125,53
balance,random,9301,-45.229888916015625,60
balance,random,9302,-5.959877014160156,100
balance,random,9303,-3.1105499267578125,100
balance,random,9304,-2.9267120361328125,100
balance,random,9305,-36.5211181640625,35
balance,random,9306,-37.6329345703125,85
balance,random,9307,-2.0554962158203125,100
balance,random,9308,-42.72367858886719,33
balance,random,9309,-8.529991149902344,100
balance,random,9310,-39.00105285644531,60
balance,random,9311,-38.585838317871094,76
balance,random,9312,-38.90338897705078,72
balance,random,9313,-2.5486907958984375,100
balance,random,9314,-36.00970458984375,60
balance,random,9315,-3.42828369140625,100
balance,random,9316,-37.42918395996094,46
balance,random,9317,-3.894561767578125,100
balance,random,9318,-3.1348800659179688,100
balance,random,9319,-1.9824371337890625,100
balance,random,9320,-38.02519226074219,43
balance,random,9321,-39.53416442871094,33
balance,random,9322,-43.420440673828125,37
balance,random,9323,-40.650787353515625,33
balance,random,9324,-39.88865661621094,46
balance,random,9325,-42.38337707519531,85
balance,random,9326,-42.48401641845703,58
balance,random,9327,-44.167510986328125,50
balance,random,9328,-48.72074890136719,42
balance,random,9329,0.463714599609375,100
balance,random,9330,-4.4225006103515625,100
balance,random,9331,-43.19911193847656,55
balance,random,9332,-41.48719024658203,73
balance,random,9333,-9.073196411132812,100
balance,random,9334,-33.508026123046875,72
balance,random,9335,-44.731201171875,69
balance,random,9336,-3.330780029296875,100
balance,random,9337,-1.2607269287109375,100
balance,random,9338,-11.4111328125,100
balance,random,9339,-40.11286926269531,66
balance,random,9340,-38.71234130859375,71
balance,random,9341,-5.40911865234375,100
balance,random,9342,-42.847503662109375,35
balance,random,9343,-1.10284423828125,100
balance,random,9344,-46.999053955078125,46
balance,random,9345,-7.0095062255859375,100
balance,random,9346,-39.92445373535156,41
balance,random,9347,-44.10401916503906,93
balance,random,9348,-49.155120849609375,97
balance,random,9349,-37.904296875,49
balance,random,9350,-42.8060302734375,79
balance,random,9351,-6.0260467529296875,100
balance,random,9352,-36.08372497558594,84
balance,random,9353,-46.55900573730469,69
balance,random,9354,-48.244606018066406,52
balance,random,9355,-44.14860534667969,92
balance,random,9356,-3.7925262451171875,100
balance,random,9357,-41.530517578125,64
balance,random,9358,-2.3912200927734375,100
balance,random,9359,-40.910247802734375,47
balance,random,9360,-36.059417724609375,39
balance,random,9361,-7.4711151123046875,100
balance,random,9362,-46.3751220703125,68
balance,random,9363,-1.0860443115234375,100
balance,random,9364,-38.19575500488281,31
balance,random,9365,-38.50804138183594,40
balance,random,9366,-42.65675354003906,50
balance,random,9367,-39.80181884765625,56
balance,random,9368,-33.94720458984375,87
balance,random,9369,-3.8346405029296875,100
balance,random,9370,-39.5416259765625,96
balance,random,9371,-6.5282135009765625,100
balance,random,9372,-39.263877868652344,56
balance,random,9373,-42.979248046875,44
balance,random,9374,-5.6694488525390625,100
balance,random,9375,-42.29681396484375,43
balance,random,9376,-48.67964172363281,62
balance,random,9377,-6.99481201171875,100
balance,random,9378,-2.1383056640625,100
balance,random,9379,-39.07917022705078,50
balance,random,9380,-50.155906677246094,79
balance,random,9381,-41.87104797363281,47
balance,random,9382,-38.59510803222656,58
balance,random,9383,-44.81163024902344,51
balance,random,9384,-32.91844940185547,40
balance,random,9385,-2.7865447998046875,100
balance,random,9386,-40.42900085449219,29
balance,random,9387,-3.9107666015625,100
balance,random,9388,-6.2266387939453125,100
balance,random,9389,-1.579742431640625,100
balance,random,9390,-32.06678009033203,45
balance,random,9391,-0.3137969970703125,100
balance,random,9392,-39.18095397949219,93
balance,random,9393,-30.742218017578125,89
balance,random,9394,-42.78153991699219,43
balance,random,9395,-36.587974548339844,39
balance,random,9396,-45.00416564941406,45
balance,random,9397,-47.33660888671875,78
balance,random,9398,-45.02801513671875,68
balance,random,9399,-36.298187255859375,34
balance,random,9400,-44.4605712890625,44
balance,random,9401,-39.67906951904297,38
balance,random,9402,-1.51666259765625,100
balance,random,9403,-36.143280029296875,94
balance,random,9404,-44.12091064453125,52
balance,random,9405,-4.63055419921875,100
balance,random,9406,-7.3619384765625,100
balance,random,9407,-15.1629638671875,100
balance,random,9408,-3.4221725463867188,100
