message_id,kind,side,sender,recipient,issued_turn,issued_phase,sender_hex,recipient_hex,hex_distance,tbs_range_hex,distance_within_tbs,optical_range_hex_v2_2_rule,selected_medium,relay_hops,handling_delay,encoding_delay,relay_delay,reencipher_delay,queue_delay,clarification_delay,total_delay,route_reason,delivered_turn,status,in_person,report_author,flags,corrected_medium_v2_3,corrected_base_delay_v2_3,medium_changed,range_nmi
MSG-00096,acknowledgement,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,8,movement_planning,"(0, 19)","(28, -2)",28,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,10,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,8.29
MSG-00097,sitrep,allies,IBS-U-USN-ERMA-ALLEN-M-SUMNER,allies-battle-line,8,movement_planning,"(6, 30)","(28, -2)",32,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,10,delivered,False,allies-destroyer-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,9.48
MSG-00098,acknowledgement,allies,IBS-U-USN-ERMA-ALLEN-M-SUMNER,allies-battle-line,8,movement_planning,"(6, 30)","(28, -2)",32,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,10,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,9.48
MSG-00099,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-battle-line,9,movement_planning,"(13, -2)","(13, -2)",0,73,False,15,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,9,delivered,True,,,face_to_face,0,True,0.0
MSG-00100,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-destroyer-line,9,movement_planning,"(13, -2)","(2, 9)",11,73,True,15,tbs_short,0,1,,,,,,1,within tactical range with line of sight,10,delivered,False,,,tbs_short,0,False,3.26
MSG-00101,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-battle-line,9,movement_planning,"(26, -4)","(26, -4)",0,73,False,13,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,9,delivered,True,,,face_to_face,0,True,0.0
MSG-00102,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-cruiser-line,9,movement_planning,"(26, -4)","(0, 19)",26,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,11,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,7.7
MSG-00103,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-destroyer-line,9,movement_planning,"(26, -4)","(1, 35)",39,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,11,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,11.55
MSG-00104,contact_report,axis,IBS-U-IJN-ERMA-SHIMAKAZE,axis-battle-line,9,movement_planning,"(2, 9)","(13, -2)",11,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,9,delivered,False,axis-destroyer-line,,tbs_short,0,False,3.26
MSG-00105,acknowledgement,axis,IBS-U-IJN-ERMA-SHIMAKAZE,axis-battle-line,9,movement_planning,"(2, 9)","(13, -2)",11,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,9,delivered,False,,,tbs_short,0,False,3.26
MSG-00106,contact_report,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,9,movement_planning,"(0, 19)","(26, -4)",26,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,11,delivered,False,allies-cruiser-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,7.7
MSG-00107,acknowledgement,allies,IBS-U-USN-ERMA-DES-MOINES,allies-battle-line,9,movement_planning,"(0, 19)","(26, -4)",26,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,11,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,7.7
MSG-00108,contact_report,allies,IBS-U-USN-ERMA-ALLEN-M-SUMNER,allies-battle-line,9,movement_planning,"(1, 35)","(26, -4)",39,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,11,delivered,False,allies-destroyer-line,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,11.55
MSG-00109,acknowledgement,allies,IBS-U-USN-ERMA-ALLEN-M-SUMNER,allies-battle-line,9,movement_planning,"(1, 35)","(26, -4)",39,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,11,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,11.55
MSG-00110,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-destroyer-line,10,movement_planning,"(14, -2)","(1, 9)",13,73,True,,tbs_short,0,1,,,,,,1,within tactical range with line of sight,11,delivered,False,,,tbs_short,0,False,3.85
MSG-00111,mission_order,axis,IBS-U-IJN-ERMA-YAMATO,axis-battle-line,10,movement_planning,"(14, -2)","(12, -2)",2,73,False,,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,10,delivered,True,,,face_to_face,0,True,0.59
MSG-00112,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-battle-line,10,movement_planning,"(26, -3)","(26, -3)",0,73,False,13,tbs_short,0,0,,,,,,0,同编队当面下令：当面交办，不占用通信链路,10,delivered,True,,,face_to_face,0,True,0.0
MSG-00113,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-cruiser-line,10,movement_planning,"(26, -3)","(0, 19)",26,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,12,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,7.7
MSG-00114,mission_order,allies,IBS-U-USN-ERMA-IOWA,allies-destroyer-line,10,movement_planning,"(26, -3)","(1, 38)",41,73,True,13,wt_reencipher_relay,1,2,,,,,,2,coded set but the ends are under different ciphers,12,delivered,False,,DIRECT_TBS_AVAILABLE_BUT_NOT_USED;UNJUSTIFIED_REENCIPHER;UNJUSTIFIED_RELAY;MISSING_RELAY_OR_CRYPTO_PROVENANCE;DISTANCE_DELAY_BUG,tbs_short,0,True,12.15
MSG-00115,contact_report,axis,IBS-U-IJN-ERMA-KAZEGUMO,axis-battle-line,10,movement_planning,"(1, 9)","(12, -2)",11,73,True,15,tbs_short,0,0,,,,,,0,within tactical range with line of sight,10,delivered,False,axis-destroyer-line,,tbs_short,0,False,3.26
